Time (ms),Nset (1/min),Torque (Nm),Current (V),Angle (deg),Depth (mm)
0.0,0.0,0.004929779,0.000305175781,0.0,0.09765625
1.0,4.0,0.00352127058,0.00335693359,0.0,0.091796875
2.0,8.0,0.006338287,0.0646972656,0.0,0.09375
3.0,12.0,0.00845105,0.179443359,0.0,0.099609375
4.0,16.0,0.02394464,0.2770996,0.13333334,0.09765625
5.0,20.0,0.03450845,0.304260254,0.13333334,0.09765625
6.0,24.0,0.0387339778,0.32043457,0.266666681,0.099609375
7.0,28.0,0.045072265,0.3213501,0.4,0.095703125
8.0,32.0,0.0464807749,0.3012085,0.6666667,0.09765625
9.0,36.0,0.05422757,0.282897949,0.8,0.09765625
10.0,40.0,0.06408713,0.30456543,1.06666672,0.09765625
11.0,44.0,0.0330999456,0.32409668,1.33333337,0.095703125
12.0,48.0,0.0302829277,0.324401855,1.6,0.09375
13.0,52.0,0.0302829277,0.30090332,1.86666667,0.099609375
14.0,56.0,0.0274659116,0.30456543,2.13333344,0.09765625
15.0,60.0,0.0309871826,0.336914063,2.5333333,0.09375
16.0,64.0,0.0302829277,0.3414917,2.9333334,0.095703125
17.0,68.0,0.0338042,0.338134766,3.33333325,0.09765625
18.0,72.0,0.0352127068,0.338439941,3.73333335,0.09765625
19.0,76.0,0.05422757,0.3375244,4.133333,0.1015625
20.0,80.0,0.1183147,0.336914063,4.66666651,0.099609375
21.0,84.0,0.1105679,0.378417969,5.0666666,0.1015625
22.0,88.0,0.0598616,0.4385376,5.6,0.09765625
23.0,92.0,0.04225525,0.418701172,6.133333,0.095703125
24.0,96.0,0.0338042,0.360107422,6.8,0.103515625
25.0,100.0,0.0380297229,0.338134766,7.33333349,0.09375
26.0,104.0,0.052819062,0.362854,7.866667,0.1015625
27.0,108.0,0.05915735,0.393371582,8.533334,0.1015625
28.0,112.0,0.0535233133,0.396728516,9.2,0.09375
29.0,116.0,0.0373254679,0.380859375,9.866667,0.09765625
30.0,120.0,0.03450845,0.380249023,10.666667,0.09375
31.0,124.0,0.0415509939,0.380859375,11.333333,0.1015625
32.0,128.0,0.0619743653,0.379943848,12.1333332,0.103515625
33.0,132.0,0.0556360781,0.383605957,12.9333334,0.099609375
34.0,136.0,0.0429595038,0.4147339,13.7333336,0.1015625
35.0,140.0,0.0507062972,0.418396,14.5333338,0.09765625
36.0,144.0,0.04225525,0.419006348,15.333333,0.095703125
37.0,148.0,0.0330999456,0.41809082,16.2666664,0.09375
38.0,152.0,0.0401424877,0.417785645,17.0666676,0.09375
39.0,156.0,0.06690414,0.422973633,18.0,0.099609375
40.0,160.0,0.0549318232,0.4397583,18.9333324,0.095703125
41.0,164.0,0.04084674,0.4397583,20.0,0.09765625
42.0,168.0,0.0330999456,0.44128418,20.9333324,0.103515625
43.0,172.0,0.0274659116,0.440063477,22.0,0.09375
44.0,176.0,0.0429595038,0.439453125,23.0666676,0.09375
45.0,180.0,0.06408713,0.440063477,24.1333332,0.099609375
46.0,184.0,0.0535233133,0.459594727,25.2,0.09375
47.0,188.0,0.0387339778,0.478210449,26.2666664,0.091796875
48.0,192.0,0.0366212167,0.477294922,27.4666672,0.09375
49.0,196.0,0.048593536,0.4534912,28.5333328,0.09765625
50.0,200.0,0.05422757,0.4437256,29.7333336,0.09765625
51.0,204.0,0.0471850261,0.46081543,30.9333324,0.09375
52.0,208.0,0.0436637551,0.47668457,32.2666664,0.099609375
53.0,212.0,0.0387339778,0.473327637,33.4666672,0.103515625
54.0,216.0,0.048593536,0.455932617,34.8,0.095703125
55.0,220.0,0.0514105521,0.4598999,36.0,0.1015625
56.0,224.0,0.05422757,0.4937744,37.3333321,0.09765625
57.0,228.0,0.0380297229,0.49987793,38.6666679,0.09375
58.0,232.0,0.0556360781,0.479125977,40.1333351,0.099609375
59.0,236.0,0.05915735,0.4562378,41.4666672,0.099609375
60.0,240.0,0.0535233133,0.4937744,42.9333344,0.099609375
61.0,244.0,0.045072265,0.498352051,44.4,0.103515625
62.0,248.0,0.0507062972,0.479125977,45.8666649,0.095703125
63.0,250.0,0.0535233133,0.456542969,47.3333321,0.099609375
64.0,250.0,0.0471850261,0.420227051,48.8,0.099609375
65.0,250.0,0.0373254679,0.341186523,50.4,0.09375
66.0,250.0,0.0415509939,0.284423828,51.8666649,0.1015625
67.0,250.0,0.0401424877,0.2987671,53.3333321,0.095703125
68.0,250.0,0.0309871826,0.304260254,54.8,0.08984375
69.0,250.0,0.048593536,0.316772461,56.2666664,0.09765625
70.0,250.0,0.0394382328,0.299682617,57.8666649,0.09765625
71.0,250.0,0.0366212167,0.30090332,59.3333321,0.1015625
72.0,250.0,0.02394464,0.300598145,60.8,0.1015625
73.0,250.0,0.0535233133,0.313110352,62.2666664,0.10546875
74.0,250.0,0.0373254679,0.3125,63.7333336,0.095703125
75.0,250.0,0.03239569,0.312805176,65.3333359,0.09765625
76.0,250.0,0.02394464,0.31829834,66.8,0.099609375
77.0,250.0,0.0556360781,0.300598145,68.26667,0.095703125
78.0,250.0,0.0281701647,0.317077637,69.73333,0.09765625
79.0,250.0,0.0218318775,0.321960449,71.2,0.09765625
80.0,250.0,0.0330999456,0.321044922,72.8,0.095703125
81.0,250.0,0.04788928,0.3088379,74.26667,0.09375
82.0,250.0,0.0267616566,0.321044922,75.73333,0.103515625
83.0,250.0,0.0190148614,0.321044922,77.2,0.09375
84.0,250.0,0.05422757,0.3048706,78.6666641,0.095703125
85.0,250.0,0.0366212167,0.319824219,80.13333,0.099609375
86.0,250.0,0.0197191164,0.3250122,81.73333,0.1015625
87.0,250.0,0.0260574035,0.324707031,83.2,0.099609375
88.0,250.0,0.0429595038,0.321960449,84.6666641,0.099609375
89.0,250.0,0.0373254679,0.321044922,86.13333,0.099609375
90.0,250.0,0.02887442,0.321655273,87.6,0.095703125
91.0,250.0,0.0366212167,0.320739746,89.2,0.09765625
92.0,250.0,0.0246488955,0.321044922,90.6666641,0.095703125
93.0,250.0,0.04084674,0.3213501,92.13333,0.09765625
94.0,250.0,0.0274659116,0.321044922,93.6,0.09375
95.0,250.0,0.03450845,0.321655273,95.0666656,0.099609375
96.0,250.0,0.0309871826,0.30090332,96.6666641,0.09765625
97.0,250.0,0.0401424877,0.300292969,98.13333,0.1015625
98.0,250.0,0.0295786746,0.3164673,99.6,0.099609375
99.0,250.0,0.0330999456,0.3048706,101.066666,0.09765625
100.0,250.0,0.0366212167,0.280151367,102.533333,0.099609375
101.0,250.0,0.0316914357,0.282592773,104.0,0.09765625
102.0,250.0,0.0338042,0.299682617,105.6,0.099609375
103.0,250.0,0.0338042,0.2786255,107.066666,0.09765625
104.0,250.0,0.04084674,0.295410156,108.533333,0.1015625
105.0,250.0,0.0387339778,0.303039551,110.0,0.09375
106.0,250.0,0.0471850261,0.3213501,111.466667,0.1015625
107.0,250.0,0.0471850261,0.304260254,112.933334,0.099609375
108.0,250.0,0.0394382328,0.300292969,114.533333,0.09375
109.0,250.0,0.0232403874,0.32043457,116.0,0.1015625
110.0,250.0,0.03239569,0.301818848,117.466667,0.095703125
111.0,250.0,0.0373254679,0.300292969,118.933334,0.09375
112.0,250.0,0.0302829277,0.32043457,120.4,0.099609375
113.0,250.0,0.02042337,0.321044922,122.0,0.103515625
114.0,250.0,0.0401424877,0.317077637,123.466667,0.1015625
115.0,250.0,0.0387339778,0.303955078,124.933334,0.099609375
116.0,250.0,0.0302829277,0.321044922,126.4,0.09375
117.0,250.0,0.0316914357,0.321960449,127.866669,0.09765625
118.0,250.0,0.0281701647,0.3213501,129.333328,0.09765625
119.0,250.0,0.0338042,0.3213501,130.933334,0.095703125
120.0,250.0,0.0267616566,0.321960449,132.4,0.095703125
121.0,250.0,0.0366212167,0.321044922,133.866669,0.09765625
122.0,250.0,0.0225361325,0.321960449,135.333328,0.09765625
123.0,250.0,0.0366212167,0.32043457,136.8,0.09765625
124.0,250.0,0.03239569,0.321960449,138.266663,0.099609375
125.0,250.0,0.0394382328,0.3213501,139.866669,0.099609375
126.0,250.0,0.03239569,0.322265625,141.333328,0.09765625
127.0,250.0,0.0352127068,0.320739746,142.8,0.095703125
128.0,250.0,0.0295786746,0.305175781,144.266663,0.095703125
129.0,250.0,0.0309871826,0.299377441,145.733337,0.099609375
130.0,250.0,0.0387339778,0.321655273,147.2,0.09765625
131.0,250.0,0.0309871826,0.301513672,148.8,0.1015625
132.0,250.0,0.0330999456,0.2999878,150.266663,0.099609375
133.0,250.0,0.0309871826,0.2999878,151.733337,0.103515625
134.0,250.0,0.0366212167,0.299682617,153.2,0.09765625
135.0,250.0,0.0352127068,0.2783203,154.666672,0.099609375
136.0,250.0,0.0309871826,0.296325684,156.266663,0.095703125
137.0,250.0,0.0316914357,0.30090332,157.733337,0.095703125
138.0,250.0,0.0394382328,0.2999878,159.2,0.099609375
139.0,250.0,0.04084674,0.300292969,160.666672,0.09375
140.0,250.0,0.02887442,0.300292969,162.133331,0.10546875
141.0,250.0,0.03450845,0.300292969,163.6,0.1015625
142.0,250.0,0.0352127068,0.279541016,165.2,0.099609375
143.0,250.0,0.0295786746,0.2999878,166.666672,0.095703125
144.0,250.0,0.0281701647,0.300598145,168.133331,0.09765625
145.0,250.0,0.04084674,0.303344727,169.6,0.09765625
146.0,250.0,0.045072265,0.300292969,171.066666,0.09765625
147.0,250.0,0.03239569,0.3201294,172.53334,0.09375
148.0,250.0,0.03450845,0.322265625,174.133331,0.09765625
149.0,250.0,0.048593536,0.321655273,175.6,0.099609375
150.0,250.0,0.0309871826,0.30090332,177.066666,0.095703125
151.0,250.0,0.0352127068,0.320739746,178.53334,0.095703125
152.0,250.0,0.0295786746,0.3213501,180.0,0.09765625
153.0,250.0,0.04225525,0.301513672,181.46666,0.09765625
154.0,250.0,0.0316914357,0.300598145,183.066666,0.095703125
155.0,250.0,0.03591696,0.321655273,184.53334,0.095703125
156.0,250.0,0.0330999456,0.321044922,186.0,0.095703125
157.0,250.0,0.0316914357,0.321655273,187.46666,0.095703125
158.0,250.0,0.0380297229,0.321655273,188.933334,0.09765625
159.0,250.0,0.0281701647,0.318603516,190.4,0.099609375
160.0,250.0,0.0246488955,0.300292969,192.0,0.1015625
161.0,250.0,0.0373254679,0.299377441,193.46666,0.09765625
162.0,250.0,0.04225525,0.303955078,194.933334,0.095703125
163.0,250.0,0.0274659116,0.3213501,196.4,0.095703125
164.0,250.0,0.0366212167,0.2999878,197.866669,0.09765625
165.0,250.0,0.0352127068,0.300292969,199.46666,0.091796875
166.0,250.0,0.0330999456,0.300292969,200.933334,0.1015625
167.0,250.0,0.0302829277,0.299682617,202.4,0.1015625
168.0,250.0,0.0380297229,0.300598145,203.866669,0.09765625
169.0,250.0,0.0352127068,0.317077637,205.333328,0.099609375
170.0,250.0,0.0281701647,0.300292969,206.8,0.09375
171.0,250.0,0.0295786746,0.300292969,208.4,0.09765625
172.0,250.0,0.0401424877,0.299377441,209.866669,0.099609375
173.0,250.0,0.0394382328,0.300292969,211.333328,0.09765625
174.0,250.0,0.0387339778,0.300598145,212.8,0.099609375
175.0,250.0,0.0246488955,0.317688,214.266663,0.1015625
176.0,250.0,0.0309871826,0.321655273,215.733337,0.10546875
177.0,250.0,0.0366212167,0.3012085,217.333328,0.08984375
178.0,250.0,0.03450845,0.300598145,218.8,0.09765625
179.0,250.0,0.02887442,0.3161621,220.266663,0.09765625
180.0,250.0,0.0380297229,0.305175781,221.733337,0.09765625
181.0,250.0,0.0352127068,0.299072266,223.2,0.091796875
182.0,250.0,0.02887442,0.321044922,224.666672,0.095703125
183.0,250.0,0.0302829277,0.321044922,226.266663,0.095703125
184.0,250.0,0.0302829277,0.301513672,227.733337,0.103515625
185.0,250.0,0.0316914357,0.299682617,229.2,0.09765625
186.0,250.0,0.0253531486,0.320739746,230.666672,0.09765625
187.0,250.0,0.04225525,0.304260254,232.133331,0.103515625
188.0,250.0,0.0380297229,0.317077637,233.6,0.099609375
189.0,250.0,0.0281701647,0.334472656,235.2,0.09765625
190.0,250.0,0.04225525,0.3250122,236.666672,0.09765625
191.0,250.0,0.03591696,0.31829834,238.133331,0.099609375
192.0,250.0,0.0302829277,0.30090332,239.6,0.09765625
193.0,250.0,0.0330999456,0.3213501,241.066666,0.1015625
194.0,250.0,0.03450845,0.300598145,242.53334,0.1015625
195.0,250.0,0.0316914357,0.30090332,244.133331,0.099609375
196.0,250.0,0.0232403874,0.300292969,245.6,0.09765625
197.0,250.0,0.03239569,0.300292969,247.066666,0.09765625
198.0,250.0,0.03450845,0.2960205,248.53334,0.099609375
199.0,250.0,0.0338042,0.278015137,250.0,0.099609375
200.0,250.0,0.0232403874,0.299377441,251.6,0.103515625
201.0,250.0,0.0302829277,0.299377441,253.066666,0.09765625
202.0,250.0,0.0338042,0.283813477,254.53334,0.09375
203.0,250.0,0.0232403874,0.299377441,256.0,0.09765625
204.0,250.0,0.0302829277,0.300292969,257.466675,0.09765625
205.0,250.0,0.0394382328,0.300598145,258.933319,0.09765625
206.0,250.0,0.0302829277,0.300292969,260.533325,0.091796875
207.0,250.0,0.0169021,0.3201294,262.0,0.099609375
208.0,250.0,0.02887442,0.321655273,263.466675,0.099609375
209.0,250.0,0.03450845,0.30090332,264.933319,0.103515625
210.0,250.0,0.0267616566,0.299377441,266.4,0.09375
211.0,250.0,0.0260574035,0.321044922,267.866669,0.1015625
212.0,250.0,0.03591696,0.304260254,269.466675,0.09375
213.0,250.0,0.0330999456,0.30090332,270.933319,0.095703125
214.0,250.0,0.0260574035,0.3213501,272.4,0.09765625
215.0,250.0,0.0211276244,0.334472656,273.866669,0.095703125
216.0,250.0,0.0366212167,0.317993164,275.333344,0.095703125
217.0,250.0,0.0330999456,0.316772461,276.8,0.09375
218.0,250.0,0.0295786746,0.334472656,278.4,0.095703125
219.0,250.0,0.0267616566,0.321655273,279.866669,0.091796875
220.0,250.0,0.03450845,0.300598145,281.333344,0.095703125
221.0,250.0,0.0246488955,0.3036499,282.8,0.09765625
222.0,250.0,0.03591696,0.321655273,284.266663,0.103515625
223.0,250.0,0.0436637551,0.2999878,285.733337,0.095703125
224.0,250.0,0.03450845,0.2999878,287.333344,0.095703125
225.0,250.0,0.0281701647,0.305786133,288.8,0.09765625
226.0,250.0,0.0338042,0.2999878,290.266663,0.099609375
227.0,250.0,0.04788928,0.299682617,291.733337,0.09765625
228.0,250.0,0.0147893373,0.3173828,293.2,0.09765625
229.0,250.0,0.0267616566,0.305480957,294.8,0.099609375
230.0,250.0,0.0295786746,0.282592773,296.266663,0.095703125
231.0,250.0,0.0387339778,0.27923584,297.733337,0.099609375
232.0,250.0,0.0246488955,0.2999878,299.2,0.09765625
233.0,250.0,0.0295786746,0.32043457,300.666656,0.099609375
234.0,250.0,0.02887442,0.305175781,302.133331,0.103515625
235.0,250.0,0.0366212167,0.3036499,303.733337,0.095703125
236.0,250.0,0.0295786746,0.321960449,305.2,0.095703125
237.0,250.0,0.0197191164,0.3213501,306.666656,0.09765625
238.0,250.0,0.0225361325,0.321655273,308.133331,0.095703125
239.0,250.0,0.0267616566,0.305786133,309.6,0.099609375
240.0,250.0,0.03450845,0.316772461,311.066681,0.095703125
241.0,250.0,0.0302829277,0.322265625,312.666656,0.09765625
242.0,250.0,0.0380297229,0.321044922,314.133331,0.095703125
243.0,250.0,0.0316914357,0.322265625,315.6,0.09765625
244.0,250.0,0.0126765743,0.3173828,317.066681,0.09765625
245.0,250.0,0.0225361325,0.300292969,318.533325,0.099609375
246.0,250.0,0.0338042,0.319824219,320.0,0.095703125
247.0,250.0,0.0373254679,0.321960449,321.6,0.099609375
248.0,250.0,0.0147893373,0.333557129,323.066681,0.099609375
249.0,250.0,0.03239569,0.338134766,324.533325,0.095703125
250.0,250.0,0.0373254679,0.322265625,326.0,0.099609375
251.0,250.0,0.0281701647,0.300292969,327.466675,0.08984375
252.0,250.0,0.0281701647,0.319824219,328.933319,0.1015625
253.0,250.0,0.0394382328,0.321960449,330.533325,0.09375
254.0,250.0,0.0338042,0.31829834,332.0,0.09765625
255.0,250.0,0.0302829277,0.300292969,333.466675,0.09765625
256.0,250.0,0.03450845,0.317688,334.933319,0.08984375
257.0,250.0,0.0401424877,0.300292969,336.4,0.09765625
258.0,250.0,0.0246488955,0.2999878,337.866669,0.09765625
259.0,250.0,0.0281701647,0.300292969,339.466675,0.09765625
260.0,250.0,0.0366212167,0.300292969,340.933319,0.091796875
261.0,250.0,0.0352127068,0.2999878,342.4,0.09765625
262.0,250.0,0.0218318775,0.299377441,343.866669,0.09375
263.0,250.0,0.02887442,0.300598145,345.333344,0.1015625
264.0,250.0,0.0352127068,0.27923584,346.933319,0.095703125
265.0,250.0,0.0295786746,0.295715332,348.4,0.09765625
266.0,250.0,0.0281701647,0.317077637,349.866669,0.095703125
267.0,250.0,0.0338042,0.3213501,351.333344,0.095703125
268.0,250.0,0.03450845,0.299682617,352.8,0.09765625
269.0,250.0,0.0225361325,0.300292969,354.266663,0.09765625
270.0,250.0,0.0309871826,0.2999878,355.866669,0.095703125
271.0,250.0,0.0267616566,0.299682617,357.333344,0.09375
272.0,250.0,0.03450845,0.316772461,358.8,0.099609375
273.0,250.0,0.03239569,0.3213501,360.266663,0.08984375
274.0,250.0,0.0295786746,0.322265625,361.733337,0.095703125
275.0,250.0,0.0267616566,0.320739746,363.2,0.095703125
276.0,250.0,0.0274659116,0.322265625,364.8,0.08984375
277.0,250.0,0.0309871826,0.321044922,366.266663,0.103515625
278.0,250.0,0.0225361325,0.321960449,367.733337,0.09375
279.0,250.0,0.03450845,0.321960449,369.2,0.09765625
280.0,250.0,0.0352127068,0.3213501,370.666656,0.087890625
281.0,250.0,0.0260574035,0.322265625,372.133331,0.1015625
282.0,250.0,0.0253531486,0.322265625,373.733337,0.09375
283.0,250.0,0.0352127068,0.300598145,375.2,0.09765625
284.0,250.0,0.0309871826,0.303039551,376.666656,0.09765625
285.0,250.0,0.0246488955,0.321655273,378.133331,0.1015625
286.0,250.0,0.0316914357,0.321655273,379.6,0.099609375
287.0,250.0,0.03591696,0.300292969,381.066681,0.09765625
288.0,250.0,0.0295786746,0.300292969,382.666656,0.09765625
289.0,250.0,0.02394464,0.2999878,384.133331,0.099609375
290.0,250.0,0.03450845,0.296325684,385.6,0.103515625
291.0,250.0,0.03591696,0.299682617,387.066681,0.09765625
292.0,250.0,0.03591696,0.300598145,388.533325,0.095703125
293.0,250.0,0.0309871826,0.300292969,390.133331,0.099609375
294.0,250.0,0.0373254679,0.300598145,391.6,0.08984375
295.0,250.0,0.02887442,0.300292969,393.066681,0.09765625
296.0,250.0,0.0302829277,0.2972412,394.533325,0.09765625
297.0,250.0,0.0429595038,0.27923584,396.0,0.1015625
298.0,250.0,0.0330999456,0.299072266,397.466675,0.08984375
299.0,250.0,0.0154935913,0.321655273,399.066681,0.103515625
300.0,250.0,0.0274659116,0.3012085,400.533325,0.09375
301.0,250.0,0.04225525,0.280151367,402.0,0.099609375
302.0,250.0,0.0253531486,0.2984619,403.466675,0.09765625
303.0,250.0,0.0302829277,0.30090332,404.933319,0.09375
304.0,250.0,0.0295786746,0.300292969,406.4,0.09765625
305.0,250.0,0.04084674,0.30090332,408.0,0.091796875
306.0,250.0,0.0197191164,0.321044922,409.466675,0.095703125
307.0,250.0,0.0274659116,0.322265625,410.933319,0.091796875
308.0,250.0,0.03591696,0.3085327,412.4,0.1015625
309.0,250.0,0.0316914357,0.3213501,413.866669,0.09375
310.0,250.0,0.0253531486,0.321044922,415.333344,0.099609375
311.0,250.0,0.0352127068,0.321044922,416.933319,0.091796875
312.0,250.0,0.0295786746,0.3225708,418.4,0.091796875
313.0,250.0,0.0295786746,0.3213501,419.866669,0.095703125
314.0,250.0,0.0309871826,0.305175781,421.333344,0.09375
315.0,250.0,0.0246488955,0.300598145,422.8,0.09375
316.0,250.0,0.0309871826,0.320739746,424.266663,0.08984375
317.0,250.0,0.04084674,0.3213501,425.866669,0.095703125
318.0,250.0,0.0218318775,0.321655273,427.333344,0.09765625
319.0,250.0,0.0260574035,0.3213501,428.8,0.099609375
320.0,250.0,0.0464807749,0.30090332,430.266663,0.099609375
321.0,250.0,0.0274659116,0.300598145,431.733337,0.099609375
322.0,250.0,0.0281701647,0.313110352,433.2,0.08984375
323.0,250.0,0.0380297229,0.30090332,434.8,0.09765625
324.0,250.0,0.04436801,0.300292969,436.266663,0.09765625
325.0,250.0,0.0190148614,0.2999878,437.733337,0.09765625
326.0,250.0,0.0366212167,0.300292969,439.2,0.09765625
327.0,250.0,0.0556360781,0.300292969,440.666656,0.095703125
328.0,250.0,0.03591696,0.2874756,442.266663,0.09765625
329.0,250.0,0.0133808283,0.30090332,443.733337,0.095703125
330.0,250.0,0.04084674,0.30090332,445.2,0.095703125
331.0,250.0,0.03591696,0.2835083,446.666656,0.09765625
332.0,250.0,0.0281701647,0.28137207,448.133331,0.09375
333.0,250.0,0.0281701647,0.300292969,449.6,0.103515625
334.0,250.0,0.0380297229,0.300292969,451.2,0.091796875
335.0,250.0,0.0401424877,0.300292969,452.666656,0.09765625
336.0,250.0,0.00845105,0.3161621,454.133331,0.095703125
337.0,250.0,0.04225525,0.321044922,455.6,0.09375
338.0,250.0,0.0190148614,0.301513672,457.066681,0.091796875
339.0,250.0,0.0316914357,0.300292969,458.533325,0.09375
340.0,250.0,0.01197232,0.319824219,460.133331,0.09375
341.0,250.0,0.04788928,0.3012085,461.6,0.09765625
342.0,250.0,0.05422757,0.3036499,463.066681,0.09375
343.0,250.0,0.0161978453,0.334472656,464.533325,0.09375
344.0,250.0,0.0154935913,0.335388184,466.0,0.099609375
345.0,250.0,0.0338042,0.30456543,467.466675,0.09375
346.0,250.0,0.0169021,0.300598145,469.066681,0.091796875
347.0,250.0,0.02394464,0.3201294,470.533325,0.1015625
348.0,250.0,0.0387339778,0.322265625,472.0,0.09765625
349.0,250.0,0.06408713,0.321655273,473.466675,0.1015625
350.0,250.0,0.0366212167,0.32409668,474.933319,0.095703125
351.0,250.0,0.007042541,0.336914063,476.4,0.09765625
352.0,250.0,0.0260574035,0.322265625,478.0,0.09375
353.0,250.0,0.0295786746,0.28503418,479.466675,0.1015625
354.0,250.0,0.0232403874,0.2783203,480.933319,0.099609375
355.0,250.0,0.0267616566,0.316772461,482.4,0.09765625
356.0,250.0,0.04084674,0.321960449,483.866669,0.095703125
357.0,250.0,0.05422757,0.322265625,485.466675,0.095703125
358.0,250.0,0.0260574035,0.320739746,486.933319,0.095703125
359.0,250.0,0.0246488955,0.322265625,488.4,0.09765625
360.0,250.0,0.0373254679,0.2835083,489.866669,0.095703125
361.0,250.0,0.0373254679,0.278930664,491.333344,0.09765625
362.0,250.0,0.0302829277,0.300292969,492.8,0.109375
363.0,250.0,0.0380297229,0.300598145,494.4,0.099609375
364.0,250.0,0.0366212167,0.299072266,495.866669,0.103515625
365.0,250.0,0.02394464,0.2999878,497.333344,0.09375
366.0,250.0,0.0338042,0.300292969,498.8,0.095703125
367.0,250.0,0.03239569,0.2999878,500.266663,0.09765625
368.0,250.0,0.0197191164,0.30090332,501.733337,0.095703125
369.0,250.0,0.0295786746,0.321655273,503.333344,0.099609375
370.0,250.0,0.0352127068,0.30456543,504.8,0.095703125
371.0,250.0,0.0295786746,0.300292969,506.266663,0.095703125
372.0,250.0,0.0246488955,0.316772461,507.733337,0.09375
373.0,250.0,0.0373254679,0.318603516,509.2,0.095703125
374.0,250.0,0.03239569,0.300292969,510.666656,0.09765625
375.0,250.0,0.0274659116,0.321044922,512.266663,0.091796875
376.0,250.0,0.0267616566,0.337219238,513.733337,0.09765625
377.0,250.0,0.0295786746,0.322875977,515.2,0.095703125
378.0,250.0,0.0338042,0.322265625,516.6667,0.099609375
379.0,250.0,0.03450845,0.321655273,518.133362,0.095703125
380.0,250.0,0.0401424877,0.3213501,519.6,0.095703125
381.0,250.0,0.0380297229,0.32043457,521.2,0.09765625
382.0,250.0,0.0225361325,0.321044922,522.6667,0.09765625
383.0,250.0,0.0338042,0.32043457,524.133362,0.099609375
384.0,250.0,0.0338042,0.30456543,525.6,0.09765625
385.0,250.0,0.03239569,0.299682617,527.06665,0.1015625
386.0,250.0,0.0140850823,0.317077637,528.6667,0.08984375
387.0,250.0,0.0316914357,0.318603516,530.133362,0.103515625
