Time (ms),Nset (1/min),Torque (Nm),Current (V),Angle (deg),Depth (mm)
0.0,0.0,-0.00140850828,-0.009155273,0.0,0.060546875
1.0,4.0,0.00281701656,-0.000305175781,0.0,0.068359375
2.0,8.0,0.004929779,0.07659912,0.0,0.06640625
3.0,12.0,0.0133808283,0.18371582,0.13333334,0.064453125
4.0,16.0,0.0218318775,0.2557373,0.13333334,0.060546875
5.0,20.0,0.0267616566,0.286254883,0.266666681,0.0625
6.0,24.0,0.03239569,0.285644531,0.4,0.068359375
7.0,28.0,0.0373254679,0.276184082,0.533333361,0.0625
8.0,32.0,0.0394382328,0.276184082,0.6666667,0.064453125
9.0,36.0,0.0274659116,0.276184082,0.933333337,0.064453125
10.0,40.0,0.0274659116,0.2972412,1.2,0.056640625
11.0,44.0,0.0267616566,0.3076172,1.4666667,0.0625
12.0,48.0,0.0274659116,0.2972412,1.73333335,0.06640625
13.0,52.0,0.0260574035,0.278015137,2.0,0.06640625
14.0,56.0,0.0211276244,0.2770996,2.26666665,0.064453125
15.0,60.0,0.0225361325,0.3088379,2.66666675,0.0625
16.0,64.0,0.0232403874,0.3265381,3.0666666,0.06640625
17.0,68.0,0.0211276244,0.335083,3.4666667,0.06640625
18.0,72.0,0.0316914357,0.335998535,3.86666656,0.0625
19.0,76.0,0.0690169,0.335083,4.266667,0.064453125
20.0,80.0,0.08732751,0.34576416,4.66666651,0.064453125
21.0,84.0,0.0936658,0.3842163,5.2,0.06640625
22.0,88.0,0.0690169,0.412597656,5.733333,0.060546875
23.0,92.0,0.0471850261,0.396728516,6.266667,0.064453125
24.0,96.0,0.0295786746,0.394897461,6.8,0.06640625
25.0,100.0,0.0232403874,0.3668213,7.4666667,0.064453125
26.0,104.0,0.0281701647,0.357055664,8.0,0.05859375
27.0,108.0,0.0281701647,0.3756714,8.666667,0.06640625
28.0,112.0,0.0281701647,0.378723145,9.333333,0.068359375
29.0,116.0,0.0267616566,0.377502441,10.0,0.06640625
30.0,120.0,0.0436637551,0.378417969,10.666667,0.060546875
31.0,124.0,0.0507062972,0.3869629,11.4666662,0.0625
32.0,128.0,0.045072265,0.425415039,12.1333332,0.064453125
33.0,132.0,0.0380297229,0.416870117,12.9333334,0.06640625
34.0,136.0,0.0330999456,0.417480469,13.7333336,0.06640625
35.0,140.0,0.0267616566,0.3942871,14.666667,0.060546875
36.0,144.0,0.0295786746,0.4159546,15.4666662,0.064453125
37.0,148.0,0.0373254679,0.416564941,16.2666664,0.060546875
38.0,152.0,0.0507062972,0.4360962,17.2,0.060546875
39.0,156.0,0.04577652,0.446167,18.1333332,0.064453125
40.0,160.0,0.0387339778,0.4534912,19.0666676,0.068359375
41.0,164.0,0.0309871826,0.43762207,20.1333332,0.0625
42.0,168.0,0.02394464,0.419921875,21.0666676,0.064453125
43.0,172.0,0.04084674,0.43762207,22.1333332,0.0625
44.0,176.0,0.0387339778,0.43762207,23.0666676,0.064453125
45.0,180.0,0.0387339778,0.45135498,24.1333332,0.064453125
46.0,184.0,0.04084674,0.4537964,25.333334,0.064453125
47.0,188.0,0.0309871826,0.4650879,26.4,0.060546875
48.0,192.0,0.03450845,0.455932617,27.6,0.06640625
49.0,196.0,0.0352127068,0.4534912,28.666666,0.0546875
50.0,200.0,0.0436637551,0.454101563,29.8666668,0.064453125
51.0,204.0,0.0415509939,0.4534912,31.0666676,0.060546875
52.0,208.0,0.0373254679,0.473022461,32.2666664,0.064453125
53.0,212.0,0.0394382328,0.477905273,33.6,0.06640625
54.0,216.0,0.0387339778,0.4537964,34.8,0.0625
55.0,220.0,0.045072265,0.465698242,36.1333351,0.05859375
56.0,224.0,0.0429595038,0.485534668,37.4666672,0.05859375
57.0,228.0,0.04225525,0.475463867,38.8,0.056640625
58.0,232.0,0.045072265,0.4751587,40.2666664,0.0625
59.0,236.0,0.052819062,0.475463867,41.6,0.060546875
60.0,240.0,0.03239569,0.4751587,43.0666656,0.0625
61.0,244.0,0.0380297229,0.49621582,44.5333328,0.06640625
62.0,248.0,0.0535233133,0.4751587,46.0,0.064453125
63.0,250.0,0.0507062972,0.4534912,47.4666672,0.0625
64.0,250.0,0.0302829277,0.4257202,48.9333344,0.05859375
65.0,250.0,0.0330999456,0.34942627,50.5333328,0.0625
