Time (ms),Nset (1/min),Torque (Nm),Current (V),Angle (deg),Depth (mm)
0.0,0.0,-0.00211276254,-0.0143432617,0.0,0.09375
1.0,4.0,0.005634033,0.0,0.0,0.09765625
2.0,8.0,0.004929779,0.07720947,0.13333334,0.091796875
3.0,12.0,0.0183106083,0.177001953,0.13333334,0.09765625
4.0,16.0,0.00140850828,0.257263184,0.13333334,0.09375
5.0,20.0,0.0352127068,0.295715332,0.266666681,0.09765625
6.0,24.0,0.0309871826,0.297851563,0.4,0.09765625
7.0,28.0,0.0352127068,0.2774048,0.533333361,0.08984375
8.0,32.0,0.0429595038,0.2770996,0.8,0.09765625
9.0,36.0,0.0295786746,0.2774048,0.933333337,0.1015625
10.0,40.0,0.0309871826,0.298156738,1.2,0.09765625
11.0,44.0,0.0436637551,0.319824219,1.4666667,0.09375
12.0,48.0,0.0394382328,0.2984619,1.73333335,0.09765625
13.0,52.0,0.03239569,0.280761719,2.0,0.09765625
14.0,56.0,0.0295786746,0.278015137,2.26666665,0.09375
15.0,60.0,0.0211276244,0.288085938,2.66666675,0.09765625
16.0,64.0,0.0105638122,0.3164673,3.0666666,0.099609375
17.0,68.0,0.0105638122,0.319519043,3.4666667,0.091796875
18.0,72.0,0.06831265,0.319519043,3.86666656,0.08984375
19.0,76.0,0.09437005,0.335693359,4.266667,0.095703125
20.0,80.0,0.0774679556,0.356140137,4.8,0.099609375
21.0,84.0,0.0429595038,0.39276123,5.2,0.09765625
22.0,88.0,0.02394464,0.3869629,5.733333,0.09375
23.0,92.0,0.0309871826,0.347290039,6.266667,0.095703125
24.0,96.0,0.0330999456,0.347290039,6.9333334,0.099609375
25.0,100.0,0.0380297229,0.367736816,7.4666667,0.099609375
26.0,104.0,0.0394382328,0.368042,8.0,0.1015625
27.0,108.0,0.0253531486,0.387573242,8.666667,0.095703125
28.0,112.0,0.0281701647,0.3955078,9.333333,0.09765625
29.0,116.0,0.0401424877,0.395813,10.0,0.09375
30.0,120.0,0.0380297229,0.394897461,10.8,0.09765625
31.0,124.0,0.0352127068,0.4058838,11.4666662,0.09765625
32.0,128.0,0.0464807749,0.416564941,12.2666664,0.095703125
33.0,132.0,0.0415509939,0.386047363,13.0666666,0.095703125
34.0,136.0,0.0394382328,0.387268066,13.8666668,0.091796875
35.0,140.0,0.0253531486,0.406494141,14.666667,0.09375
36.0,144.0,0.0253531486,0.416564941,15.4666662,0.099609375
37.0,148.0,0.0352127068,0.416259766,16.4,0.08984375
38.0,152.0,0.04788928,0.416870117,17.2,0.091796875
39.0,156.0,0.0338042,0.435180664,18.1333332,0.099609375
40.0,160.0,0.04436801,0.453186035,19.0666676,0.09765625
41.0,164.0,0.0373254679,0.454101563,20.1333332,0.095703125
42.0,168.0,0.04577652,0.454101563,21.0666676,0.087890625
43.0,172.0,0.0309871826,0.455627441,22.1333332,0.09765625
44.0,176.0,0.0387339778,0.4397583,23.2,0.09765625
45.0,180.0,0.0366212167,0.4385376,24.2666664,0.08984375
