Time (ms),Nset (1/min),Torque (Nm),Current (V),Angle (deg),Depth (mm)
0.0,0.0,0.00845105,-0.009460449,0.0,0.091796875
1.0,4.0,0.006338287,0.0164794922,0.0,0.08984375
2.0,8.0,0.0133808283,0.0915527344,0.0,0.095703125
3.0,12.0,0.0112680662,0.169372559,0.13333334,0.1015625
4.0,16.0,0.0232403874,0.251159668,0.13333334,0.1015625
5.0,20.0,0.0295786746,0.299072266,0.266666681,0.09765625
6.0,24.0,0.0380297229,0.323181152,0.4,0.09375
7.0,28.0,0.0429595038,0.302734375,0.533333361,0.1015625
8.0,32.0,0.04929779,0.2810669,0.6666667,0.09375
9.0,36.0,0.04225525,0.2810669,0.933333337,0.099609375
10.0,40.0,0.0260574035,0.299682617,1.2,0.09375
11.0,44.0,0.0260574035,0.301818848,1.4666667,0.095703125
12.0,48.0,0.0295786746,0.2822876,1.73333335,0.095703125
13.0,52.0,0.0302829277,0.281982422,2.0,0.09765625
14.0,56.0,0.02887442,0.320739746,2.26666665,0.099609375
15.0,60.0,0.0316914357,0.350036621,2.66666675,0.09765625
16.0,64.0,0.0274659116,0.339660645,3.0666666,0.09765625
17.0,68.0,0.04929779,0.3237915,3.33333325,0.095703125
18.0,72.0,0.0711296648,0.350646973,3.86666656,0.09375
19.0,76.0,0.0936658,0.379943848,4.266667,0.095703125
20.0,80.0,0.09437005,0.3829956,4.66666651,0.099609375
21.0,84.0,0.05634033,0.397644043,5.2,0.091796875
22.0,88.0,0.045072265,0.420227051,5.733333,0.1015625
23.0,92.0,0.0352127068,0.385131836,6.266667,0.09375
24.0,96.0,0.03239569,0.3439331,6.8,0.095703125
25.0,100.0,0.0330999456,0.372314453,7.4666667,0.095703125
26.0,104.0,0.03450845,0.382385254,8.0,0.103515625
27.0,108.0,0.0366212167,0.39855957,8.666667,0.09765625
28.0,112.0,0.0394382328,0.391540527,9.333333,0.099609375
29.0,116.0,0.0415509939,0.3640747,10.0,0.09765625
30.0,120.0,0.0373254679,0.396728516,10.666667,0.095703125
31.0,124.0,0.0380297229,0.419006348,11.4666662,0.095703125
32.0,128.0,0.045072265,0.4208374,12.1333332,0.09375
33.0,132.0,0.0464807749,0.410461426,12.9333334,0.099609375
34.0,136.0,0.04084674,0.41809082,13.7333336,0.08984375
35.0,140.0,0.03450845,0.440368652,14.5333338,0.09375
36.0,144.0,0.0415509939,0.442504883,15.4666662,0.08984375
37.0,148.0,0.0464807749,0.4321289,16.2666664,0.099609375
38.0,152.0,0.03239569,0.442504883,17.2,0.091796875
39.0,156.0,0.0387339778,0.4421997,18.1333332,0.09375
40.0,160.0,0.045072265,0.442504883,19.0666676,0.099609375
41.0,164.0,0.0380297229,0.4421997,20.0,0.09375
42.0,168.0,0.0394382328,0.442504883,21.0666676,0.08984375
43.0,172.0,0.04436801,0.458374023,22.1333332,0.095703125
44.0,176.0,0.04225525,0.4586792,23.0666676,0.09375
45.0,180.0,0.0436637551,0.4611206,24.1333332,0.095703125
46.0,184.0,0.0366212167,0.458984375,25.333334,0.099609375
47.0,188.0,0.04084674,0.479125977,26.4,0.09765625
48.0,192.0,0.0535233133,0.480957031,27.4666672,0.099609375
49.0,196.0,0.0373254679,0.4611206,28.666666,0.091796875
50.0,200.0,0.04084674,0.458374023,29.8666668,0.091796875
51.0,204.0,0.0380297229,0.458068848,31.0666676,0.099609375
52.0,208.0,0.04788928,0.480651855,32.2666664,0.1015625
53.0,212.0,0.0394382328,0.4827881,33.6,0.08984375
54.0,216.0,0.0471850261,0.48034668,34.8,0.1015625
55.0,220.0,0.0352127068,0.480957031,36.1333351,0.09765625
56.0,224.0,0.04225525,0.480957031,37.4666672,0.095703125
57.0,228.0,0.0373254679,0.479736328,38.8,0.095703125
58.0,232.0,0.04929779,0.461425781,40.2666664,0.095703125
59.0,236.0,0.05422757,0.458984375,41.6,0.099609375
60.0,240.0,0.0549318232,0.4977417,43.0666656,0.09765625
61.0,244.0,0.0584530942,0.5014038,44.5333328,0.091796875
62.0,248.0,0.052819062,0.4827881,46.0,0.095703125
63.0,250.0,0.05634033,0.459594727,47.4666672,0.091796875
64.0,250.0,0.05422757,0.425109863,48.9333344,0.09765625
65.0,250.0,0.0274659116,0.3366089,50.5333328,0.09375
66.0,250.0,0.0140850823,0.285644531,52.0,0.099609375
67.0,250.0,0.04084674,0.300598145,53.4666672,0.09765625
68.0,250.0,0.04577652,0.320739746,54.9333344,0.09375
69.0,250.0,0.0281701647,0.324707031,56.4,0.09765625
70.0,250.0,0.04225525,0.313415527,58.0,0.091796875
71.0,250.0,0.0274659116,0.324401855,59.4666672,0.095703125
72.0,250.0,0.0394382328,0.339660645,60.9333344,0.09375
73.0,250.0,0.0183106083,0.3250122,62.4,0.1015625
74.0,250.0,0.0401424877,0.323486328,63.8666649,0.09375
75.0,250.0,0.0253531486,0.32409668,65.46667,0.1015625
76.0,250.0,0.04225525,0.32409668,66.9333344,0.09765625
77.0,250.0,0.0232403874,0.3375244,68.4,0.09375
78.0,250.0,0.0352127068,0.340576172,69.86667,0.09765625
79.0,250.0,0.02394464,0.33996582,71.3333359,0.099609375
80.0,250.0,0.04436801,0.340881348,72.9333344,0.09765625
81.0,250.0,0.0281701647,0.340576172,74.4,0.08984375
82.0,250.0,0.0366212167,0.340881348,75.86667,0.08984375
83.0,250.0,0.0352127068,0.340576172,77.3333359,0.09375
84.0,250.0,0.0302829277,0.32409668,78.8,0.1015625
85.0,250.0,0.0253531486,0.340576172,80.26667,0.09375
86.0,250.0,0.0267616566,0.33996582,81.86667,0.1015625
87.0,250.0,0.0429595038,0.32409668,83.3333359,0.09765625
88.0,250.0,0.0246488955,0.323486328,84.8,0.09765625
89.0,250.0,0.0366212167,0.32409668,86.26667,0.09765625
90.0,250.0,0.04084674,0.324707031,87.73333,0.09765625
91.0,250.0,0.0352127068,0.3237915,89.3333359,0.095703125
92.0,250.0,0.02042337,0.324401855,90.8,0.09765625
93.0,250.0,0.04788928,0.32409668,92.26667,0.095703125
94.0,250.0,0.06479138,0.303955078,93.73333,0.09765625
95.0,250.0,0.0225361325,0.32043457,95.2,0.095703125
96.0,250.0,0.0190148614,0.33996582,96.6666641,0.099609375
97.0,250.0,0.04788928,0.3137207,98.26667,0.091796875
98.0,250.0,0.03239569,0.302734375,99.73333,0.09375
99.0,250.0,0.0352127068,0.3213501,101.2,0.095703125
100.0,250.0,0.0295786746,0.32409668,102.666664,0.09375
101.0,250.0,0.06408713,0.3036499,104.133331,0.09765625
102.0,250.0,0.0338042,0.3024292,105.73333,0.08984375
103.0,250.0,0.004225525,0.3378296,107.2,0.099609375
104.0,250.0,0.048593536,0.3265381,108.666664,0.095703125
105.0,250.0,0.0147893373,0.303344727,110.133331,0.091796875
106.0,250.0,0.0281701647,0.321044922,111.6,0.08984375
107.0,250.0,0.0176063534,0.3375244,113.066666,0.09375
