Time (ms),Nset (1/min),Torque (Nm),Current (V),Angle (deg),Depth (mm)
0.0,0.0,-0.00211276254,-0.0164794922,0.0,0.09765625
1.0,4.0,-0.00211276254,-0.00579834,0.0,0.09765625
2.0,8.0,-0.00211276254,0.0610351563,0.0,0.091796875
3.0,12.0,-0.00211276254,0.1776123,0.0,0.09765625
4.0,16.0,0.0,0.254821777,0.13333334,0.095703125
5.0,20.0,-0.00070425414,0.27557373,0.13333334,0.095703125
6.0,24.0,0.00070425414,0.2581787,0.266666681,0.087890625
7.0,28.0,0.009859558,0.237731934,0.4,0.09375
8.0,32.0,0.00140850828,0.236206055,0.6666667,0.099609375
9.0,36.0,0.0330999456,0.259094238,0.8,0.099609375
10.0,40.0,0.0295786746,0.286865234,1.06666672,0.091796875
11.0,44.0,0.0415509939,0.3100586,1.33333337,0.091796875
12.0,48.0,0.0387339778,0.3036499,1.6,0.087890625
13.0,52.0,0.0415509939,0.296630859,1.86666667,0.08984375
14.0,56.0,0.0338042,0.296630859,2.26666665,0.091796875
15.0,60.0,0.0309871826,0.2960205,2.5333333,0.099609375
16.0,64.0,0.02887442,0.274963379,2.9333334,0.095703125
17.0,68.0,0.0267616566,0.309753418,3.33333325,0.099609375
18.0,72.0,0.0211276244,0.3314209,3.73333335,0.091796875
19.0,76.0,0.0225361325,0.333251953,4.133333,0.09375
20.0,80.0,0.0260574035,0.319213867,4.66666651,0.09375
21.0,84.0,0.0211276244,0.3173828,5.2,0.09765625
22.0,88.0,0.0514105521,0.33203125,5.6,0.09765625
23.0,92.0,0.0767637044,0.352478027,6.133333,0.08984375
24.0,96.0,0.08098923,0.38482666,6.66666651,0.09765625
25.0,100.0,0.06619989,0.413513184,7.33333349,0.08984375
26.0,104.0,0.06549563,0.4144287,7.866667,0.09375
27.0,108.0,0.052819062,0.393676758,8.533334,0.087890625
28.0,112.0,0.0471850261,0.378417969,9.2,0.095703125
29.0,116.0,0.0352127068,0.377502441,9.866667,0.091796875
