Time (ms),Nset (1/min),Torque (Nm),Current (V),Angle (deg),Depth (mm)
0.0,0.0,0.00281701656,-0.0152587891,0.0,0.1171875
1.0,4.0,0.00211276254,-0.000915527344,0.0,0.11328125
2.0,8.0,0.00281701656,0.08392334,0.0,0.1171875
3.0,12.0,0.00774679566,0.1651001,0.13333334,0.12109375
4.0,16.0,0.0154935913,0.227966309,0.13333334,0.12109375
5.0,20.0,0.0281701647,0.273742676,0.266666681,0.12109375
6.0,24.0,0.0366212167,0.2758789,0.4,0.125
7.0,28.0,0.0380297229,0.276489258,0.533333361,0.119140625
8.0,32.0,0.0373254679,0.2770996,0.8,0.125
9.0,36.0,0.0330999456,0.2947998,0.933333337,0.123046875
10.0,40.0,0.0316914357,0.3173828,1.2,0.115234375
11.0,44.0,0.0295786746,0.298156738,1.4666667,0.12109375
12.0,48.0,0.0281701647,0.2770996,1.73333335,0.119140625
13.0,52.0,0.0260574035,0.276794434,2.0,0.123046875
14.0,56.0,0.0260574035,0.2758789,2.26666665,0.12109375
15.0,60.0,0.0232403874,0.298156738,2.66666675,0.119140625
16.0,64.0,0.0246488955,0.3189087,3.0666666,0.123046875
17.0,68.0,0.05915735,0.3201294,3.4666667,0.123046875
18.0,72.0,0.06479138,0.334472656,3.86666656,0.119140625
19.0,76.0,0.09155304,0.367126465,4.266667,0.125
20.0,80.0,0.0774679556,0.3781128,4.8,0.123046875
21.0,84.0,0.0507062972,0.378417969,5.2,0.125
22.0,88.0,0.045072265,0.377807617,5.733333,0.119140625
23.0,92.0,0.03450845,0.368042,6.266667,0.126953125
24.0,96.0,0.0309871826,0.335693359,6.8,0.125
25.0,100.0,0.0309871826,0.334472656,7.4666667,0.12109375
26.0,104.0,0.0260574035,0.334777832,8.0,0.123046875
27.0,108.0,0.0281701647,0.3555298,8.666667,0.11328125
28.0,112.0,0.0253531486,0.3781128,9.333333,0.115234375
29.0,116.0,0.0394382328,0.357666016,10.0,0.125
30.0,120.0,0.0556360781,0.368652344,10.8,0.12109375
31.0,124.0,0.05634033,0.3869629,11.4666662,0.126953125
32.0,128.0,0.0436637551,0.3942871,12.2666664,0.123046875
33.0,132.0,0.048593536,0.3945923,13.0666666,0.126953125
34.0,136.0,0.03591696,0.377807617,13.8666668,0.12109375
35.0,140.0,0.02887442,0.3942871,14.666667,0.1171875
36.0,144.0,0.0401424877,0.393676758,15.4666662,0.12109375
37.0,148.0,0.0380297229,0.395813,16.4,0.12109375
38.0,152.0,0.0436637551,0.3942871,17.333334,0.119140625
39.0,156.0,0.04225525,0.4159546,18.1333332,0.123046875
40.0,160.0,0.0380297229,0.415344238,19.2,0.12109375
41.0,164.0,0.0387339778,0.4159546,20.1333332,0.12109375
42.0,168.0,0.04577652,0.416564941,21.0666676,0.126953125
43.0,172.0,0.0387339778,0.426940918,22.1333332,0.119140625
44.0,176.0,0.0387339778,0.438232422,23.2,0.123046875
45.0,180.0,0.04929779,0.419311523,24.2666664,0.123046875
46.0,184.0,0.03450845,0.426635742,25.333334,0.125
47.0,188.0,0.0471850261,0.454101563,26.4,0.12109375
48.0,192.0,0.0366212167,0.454101563,27.6,0.119140625
49.0,196.0,0.0330999456,0.453186035,28.8,0.1171875
50.0,200.0,0.045072265,0.437927246,29.8666668,0.123046875
51.0,204.0,0.0366212167,0.452575684,31.0666676,0.125
52.0,208.0,0.04577652,0.4547119,32.4,0.12109375
53.0,212.0,0.04577652,0.474853516,33.6,0.123046875
54.0,216.0,0.04084674,0.454101563,34.9333344,0.123046875
55.0,220.0,0.0507062972,0.466918945,36.2666664,0.123046875
56.0,224.0,0.0387339778,0.48614502,37.4666672,0.119140625
57.0,228.0,0.0309871826,0.497436523,38.9333344,0.12109375
58.0,232.0,0.0415509939,0.476074219,40.2666664,0.12109375
59.0,236.0,0.05422757,0.466003418,41.6,0.119140625
60.0,240.0,0.04577652,0.485534668,43.0666656,0.1171875
61.0,244.0,0.0330999456,0.497131348,44.5333328,0.123046875
62.0,248.0,0.0401424877,0.476989746,46.0,0.125
63.0,250.0,0.045072265,0.455932617,47.4666672,0.119140625
64.0,250.0,0.0394382328,0.4272461,49.0666656,0.123046875
65.0,250.0,0.0267616566,0.341796875,50.5333328,0.12109375
66.0,250.0,0.0232403874,0.280151367,52.0,0.125
67.0,250.0,0.0295786746,0.29510498,53.4666672,0.125
68.0,250.0,0.03591696,0.318603516,54.9333344,0.125
69.0,250.0,0.03239569,0.3189087,56.5333328,0.123046875
70.0,250.0,0.04225525,0.298156738,58.0,0.12109375
71.0,250.0,0.0394382328,0.289917,59.4666672,0.115234375
72.0,250.0,0.0267616566,0.2984619,60.9333344,0.123046875
73.0,250.0,0.0352127068,0.298156738,62.5333328,0.123046875
74.0,250.0,0.03450845,0.2984619,64.0,0.1171875
75.0,250.0,0.0316914357,0.2984619,65.46667,0.12890625
76.0,250.0,0.03450845,0.297851563,66.9333344,0.126953125
77.0,250.0,0.04225525,0.2972412,68.4,0.119140625
78.0,250.0,0.0253531486,0.297851563,69.86667,0.123046875
79.0,250.0,0.0302829277,0.307922363,71.46667,0.12109375
80.0,250.0,0.03591696,0.2984619,72.9333344,0.125
81.0,250.0,0.0352127068,0.309448242,74.4,0.12109375
82.0,250.0,0.0232403874,0.3189087,75.86667,0.119140625
83.0,250.0,0.0267616566,0.318603516,77.3333359,0.125
84.0,250.0,0.02887442,0.30090332,78.9333344,0.123046875
85.0,250.0,0.0401424877,0.3085327,80.4,0.126953125
86.0,250.0,0.0267616566,0.326843262,81.86667,0.12109375
87.0,250.0,0.02394464,0.327148438,83.3333359,0.12109375
88.0,250.0,0.0183106083,0.319213867,84.8,0.1171875
89.0,250.0,0.0302829277,0.318603516,86.26667,0.130859375
90.0,250.0,0.02394464,0.3277588,87.86667,0.125
91.0,250.0,0.0267616566,0.319213867,89.3333359,0.12109375
92.0,250.0,0.04084674,0.319519043,90.8,0.125
93.0,250.0,0.0338042,0.318603516,92.26667,0.12109375
94.0,250.0,0.02394464,0.319213867,93.73333,0.123046875
95.0,250.0,0.02887442,0.319519043,95.3333359,0.125
96.0,250.0,0.0338042,0.300292969,96.8,0.12109375
97.0,250.0,0.02394464,0.310974121,98.26667,0.125
98.0,250.0,0.02394464,0.3189087,99.73333,0.12109375
