Time (ms),Nset (1/min),Torque (Nm),Current (V),Angle (deg),Depth (mm)
0.0,0.0,0.004929779,-0.0140380859,0.0,0.109375
1.0,4.0,0.004929779,-0.000610351563,0.0,0.10546875
2.0,8.0,0.009859558,0.0625610352,0.0,0.10546875
3.0,12.0,0.0211276244,0.180664063,0.13333334,0.109375
4.0,16.0,0.0274659116,0.256347656,0.13333334,0.111328125
5.0,20.0,0.0309871826,0.295410156,0.266666681,0.109375
6.0,24.0,0.0352127068,0.2770996,0.4,0.109375
7.0,28.0,0.0401424877,0.2609253,0.533333361,0.11328125
8.0,32.0,0.0394382328,0.276184082,0.6666667,0.111328125
9.0,36.0,0.0274659116,0.297851563,0.933333337,0.107421875
10.0,40.0,0.0260574035,0.3173828,1.2,0.10546875
11.0,44.0,0.0253531486,0.313110352,1.33333337,0.111328125
12.0,48.0,0.0295786746,0.319519043,1.6,0.109375
13.0,52.0,0.0295786746,0.319519043,2.0,0.10546875
14.0,56.0,0.0260574035,0.318603516,2.26666665,0.111328125
15.0,60.0,0.0267616566,0.3076172,2.66666675,0.107421875
16.0,64.0,0.0218318775,0.278930664,2.9333334,0.109375
17.0,68.0,0.03239569,0.309448242,3.33333325,0.111328125
18.0,72.0,0.07183392,0.368652344,3.73333335,0.099609375
19.0,76.0,0.103525355,0.393981934,4.266667,0.107421875
20.0,80.0,0.08944028,0.4284668,4.66666651,0.107421875
21.0,84.0,0.052819062,0.438842773,5.2,0.10546875
22.0,88.0,0.0401424877,0.4055786,5.733333,0.10546875
23.0,92.0,0.0267616566,0.380249023,6.266667,0.109375
24.0,96.0,0.0260574035,0.357666016,6.8,0.103515625
25.0,100.0,0.0225361325,0.357055664,7.33333349,0.109375
26.0,104.0,0.0302829277,0.38848877,8.0,0.10546875
27.0,108.0,0.0330999456,0.3955078,8.666667,0.11328125
28.0,112.0,0.0302829277,0.3942871,9.333333,0.11328125
29.0,116.0,0.0436637551,0.3945923,10.0,0.107421875
30.0,120.0,0.04577652,0.394897461,10.666667,0.109375
31.0,124.0,0.045072265,0.4284668,11.333333,0.111328125
32.0,128.0,0.0415509939,0.437011719,12.1333332,0.111328125
33.0,132.0,0.0338042,0.417480469,12.9333334,0.109375
34.0,136.0,0.0281701647,0.416259766,13.7333336,0.109375
35.0,140.0,0.0267616566,0.4373169,14.5333338,0.10546875
36.0,144.0,0.04225525,0.419006348,15.4666662,0.103515625
37.0,148.0,0.048593536,0.416259766,16.2666664,0.109375
38.0,152.0,0.045072265,0.437927246,17.2,0.10546875
39.0,156.0,0.0471850261,0.473022461,18.1333332,0.10546875
40.0,160.0,0.04436801,0.456848145,19.0666676,0.109375
41.0,164.0,0.0281701647,0.453186035,20.0,0.111328125
42.0,168.0,0.03239569,0.43762207,21.0666676,0.11328125
43.0,172.0,0.0415509939,0.437927246,22.0,0.10546875
44.0,176.0,0.0464807749,0.4534912,23.0666676,0.10546875
45.0,180.0,0.0464807749,0.454101563,24.1333332,0.107421875
46.0,184.0,0.0387339778,0.454406738,25.2,0.11328125
47.0,188.0,0.03591696,0.474243164,26.2666664,0.103515625
48.0,192.0,0.0436637551,0.475463867,27.4666672,0.111328125
49.0,196.0,0.0507062972,0.4550171,28.666666,0.10546875
50.0,200.0,0.04788928,0.475769043,29.8666668,0.11328125
51.0,204.0,0.045072265,0.47668457,31.0666676,0.109375
52.0,208.0,0.0401424877,0.463256836,32.2666664,0.103515625
53.0,212.0,0.0464807749,0.454101563,33.4666672,0.109375
54.0,216.0,0.052819062,0.454101563,34.8,0.10546875
