Time (ms),TCP_x (mm),TCP_y (mm),TCP_z (mm),TCP_rx (rad),TCP_ry (rad),TCP_rz (rad),Robot_I (A)
1.988,0.0,0.0,0.0,1.228,1.171,-1.208,1.056
3.981,0.0,0.0,0.0,1.228,1.171,-1.208,1.056
6.006,0.0,0.0,0.0,1.228,1.171,-1.208,1.056
7.969,0.0,0.0,0.0,1.228,1.171,-1.208,1.056
9.508,0.0,0.0,0.0,1.228,1.171,-1.208,1.127
11.505,0.0,0.0,0.0,1.228,1.171,-1.208,1.127
13.501,0.0,0.0,0.0,1.228,1.171,-1.208,1.127
18.489,0.0,0.0,0.0,1.228,1.171,-1.208,1.127
20.482,0.0,0.0,0.0,1.228,1.171,-1.208,1.056
22.476,0.0,0.0,0.0,1.228,1.171,-1.208,1.056
24.471,0.0,0.0,0.0,1.228,1.171,-1.208,1.056
26.466,0.0,0.0,0.0,1.228,1.171,-1.208,1.056
28.46,0.0,0.0,0.0,1.228,1.171,-1.208,1.02
30.455,0.0,0.0,0.0,1.228,1.171,-1.208,1.02
33.45,0.0,0.0,0.0,1.228,1.171,-1.208,1.02
35.441,0.0,0.0,0.0,1.228,1.171,-1.208,1.02
37.715,0.0,0.0,0.0,1.228,1.171,-1.208,1.02
39.712,0.0,0.0,0.0,1.228,1.171,-1.208,1.127
41.733,0.0,0.0,0.0,1.228,1.171,-1.208,1.127
43.702,0.0,0.0,0.0,1.228,1.171,-1.208,1.127
45.729,0.0,0.0,0.0,1.228,1.171,-1.208,1.127
47.728,0.0,0.0,0.0,1.228,1.171,-1.208,1.126
50.787,0.0,0.0,0.0,1.228,1.171,-1.208,1.126
54.097,0.0,0.0,0.0,1.228,1.171,-1.208,1.126
56.146,0.0,0.0,0.0,1.228,1.171,-1.208,1.126
58.109,0.0,0.0,0.0,1.228,1.171,-1.208,1.126
62.373,0.0,0.0,0.0,1.228,1.171,-1.208,1.126
66.366,0.0,0.0,0.0,1.228,1.171,-1.208,1.126
68.36,0.0,0.0,0.0,1.228,1.171,-1.208,1.232
70.367,0.0,0.0,0.0,1.228,1.171,-1.208,1.232
72.369,0.0,0.0,0.0,1.228,1.171,-1.208,1.232
74.344,0.0,0.0,0.0,1.228,1.171,-1.208,1.232
76.372,0.0,0.0,0.0,1.228,1.171,-1.208,1.197
78.43,0.0,0.0,0.0,1.228,1.171,-1.208,1.197
80.421,0.0,0.0,0.0,1.228,1.171,-1.208,1.197
82.423,0.0,0.0,0.0,1.228,1.171,-1.208,1.197
85.43100000000001,0.0,0.0,0.0,1.228,1.171,-1.208,1.161
87.405,0.0,0.0,0.0,1.228,1.171,-1.208,1.161
89.42,0.0,0.0,0.0,1.228,1.171,-1.208,1.161
91.649,0.0,0.0,0.0,1.228,1.171,-1.208,1.161
93.648,0.0,0.0,0.0,1.228,1.171,-1.208,1.127
95.755,0.0,0.0,0.0,1.228,1.171,-1.208,1.127
97.753,0.0,0.0,0.0,1.228,1.171,-1.208,1.127
99.751,0.0,0.0,0.0,1.228,1.171,-1.208,1.127
101.743,0.0,0.0,0.0,1.228,1.171,-1.208,1.126
105.757,0.0,0.0,0.0,1.228,1.171,-1.208,1.126
109.721,0.0,0.0,0.0,1.228,1.171,-1.208,1.126
111.86,0.0,0.0,0.0,1.228,1.171,-1.208,1.126
113.796,0.0,0.0,0.0,1.228,1.171,-1.208,1.126
117.831,0.0,0.0,0.0,1.228,1.171,-1.208,1.056
121.006,0.0,0.0,0.0,1.228,1.171,-1.208,1.056
123.266,0.0,0.0,0.0,1.228,1.171,-1.208,1.056
125.54,0.0,0.0,0.0,1.228,1.171,-1.208,1.126
127.567,0.0,0.0,0.0,1.228,1.171,-1.208,1.126
129.53300000000002,0.0,0.0,0.0,1.228,1.171,-1.208,1.126
131.543,0.0,0.0,0.0,1.228,1.171,-1.208,1.126
134.52700000000002,0.0,-0.1000000000000227,0.0,1.228,1.171,-1.208,1.126
137.511,0.0,-0.1000000000000227,0.0,1.228,1.171,-1.208,1.126
139.505,0.0,-0.1000000000000227,0.0,1.228,1.171,-1.208,1.126
141.50199999999998,0.0,-0.1000000000000227,0.0,1.228,1.171,-1.208,1.126
143.496,0.0,-0.1000000000000227,0.0,1.228,1.171,-1.208,1.162
145.491,0.0,-0.1000000000000227,0.0,1.228,1.171,-1.208,1.162
147.484,0.0,-0.1000000000000227,0.0,1.228,1.171,-1.208,1.162
151.476,0.0,-0.1000000000000227,0.0,1.228,1.171,-1.208,1.162
153.47,0.0,-0.1000000000000227,0.0,1.228,1.171,-1.208,1.092
157.45999999999998,0.0,-0.1000000000000227,0.0,1.228,1.171,-1.208,1.092
161.448,0.0,-0.1000000000000227,0.0,1.228,1.171,-1.208,1.092
163.443,0.0,-0.1000000000000227,0.0,1.228,1.171,-1.208,1.162
165.438,0.0,-0.1000000000000227,0.0,1.228,1.171,-1.208,1.162
170.44699999999995,0.0,-0.1000000000000227,0.0,1.228,1.171,-1.208,1.162
172.42,0.0,-0.1000000000000227,0.0,1.228,1.171,-1.208,1.162
174.41400000000002,0.0,-0.1000000000000227,0.0,1.228,1.171,-1.208,1.162
176.40800000000002,0.0,-0.1000000000000227,0.0,1.228,1.171,-1.208,1.021
178.40300000000002,0.0,-0.1000000000000227,0.0,1.228,1.171,-1.208,1.021
180.398,0.0,-0.1000000000000227,0.0,1.228,1.171,-1.208,1.021
182.395,0.0,-0.1000000000000227,0.0,1.228,1.171,-1.208,1.021
186.386,0.0,-0.1000000000000227,0.0,1.228,1.171,-1.208,1.197
188.388,0.0,-0.1000000000000227,0.0,1.228,1.171,-1.208,1.197
190.369,0.0,-0.1000000000000227,0.0,1.228,1.171,-1.208,1.197
192.366,0.0,-0.1000000000000227,0.0,1.228,1.171,-1.208,1.197
196.359,0.0,-0.1000000000000227,0.0,1.228,1.171,-1.208,1.126
201.35,0.0,-0.1000000000000227,0.0,1.228,1.171,-1.208,1.126
203.339,0.0,-0.1000000000000227,0.0,1.228,1.171,-1.208,1.126
205.334,0.0,-0.1000000000000227,0.0,1.228,1.171,-1.208,1.161
207.33,0.0,-0.1000000000000227,0.0,1.228,1.171,-1.208,1.161
209.837,0.0,-0.1000000000000227,0.0,1.228,1.171,-1.208,1.161
211.84,0.0,-0.1000000000000227,0.0,1.228,1.171,-1.208,1.161
213.83,0.0,0.0,0.0,1.228,1.171,-1.208,1.091
215.829,0.0,0.0,0.0,1.228,1.171,-1.208,1.091
218.854,0.0,0.0,0.0,1.228,1.171,-1.208,1.091
220.843,0.0,0.0,0.0,1.228,1.171,-1.208,1.091
222.839,0.0,0.0,0.0,1.228,1.171,-1.208,1.161
224.801,0.0,0.0,0.0,1.228,1.171,-1.208,1.161
226.794,0.0,0.0,0.0,1.228,1.171,-1.208,1.161
228.79,0.0,0.0,0.0,1.228,1.171,-1.208,1.161
231.014,0.0,0.0,0.0,1.228,1.171,-1.208,1.161
233.134,0.0,0.0,-0.0999999999999943,1.228,1.171,-1.208,1.161
236.595,0.0,0.0,-0.0999999999999943,1.228,1.171,-1.208,1.161
238.155,0.0,0.0,-0.0999999999999943,1.228,1.171,-1.208,1.161
240.111,0.0,0.0,-0.0999999999999943,1.228,1.171,-1.208,1.161
242.106,0.0,0.0,-0.0999999999999943,1.228,1.171,-1.208,1.161
246.096,0.0,0.0,-0.0999999999999943,1.228,1.171,-1.208,1.161
248.093,0.0,0.0,-0.0999999999999943,1.228,1.171,-1.208,1.161
252.08,0.0,0.0,-0.0999999999999943,1.228,1.171,-1.208,1.197
256.069,0.0,0.0,-0.0999999999999943,1.228,1.171,-1.208,1.197
258.064,0.0,0.0,-0.0999999999999943,1.228,1.171,-1.208,1.197
260.059,0.0,0.0,-0.0999999999999943,1.228,1.171,-1.208,1.197
262.087,0.0,0.0,-0.0999999999999943,1.228,1.171,-1.208,1.197
264.048,0.0,0.0,-0.0999999999999943,1.228,1.171,-1.208,1.091
267.04299999999995,0.0,0.0,-0.0999999999999943,1.228,1.171,-1.208,1.091
271.02700000000004,0.0,0.0,-0.0999999999999943,1.228,1.171,-1.208,1.091
273.024,0.0,0.0,-0.0999999999999943,1.228,1.171,-1.208,1.091
277.014,0.0,0.0,-0.0999999999999943,1.228,1.171,-1.208,1.091
279.008,0.0,0.0,-0.0999999999999943,1.228,1.171,-1.208,1.091
283.001,0.0,0.0,-0.0999999999999943,1.228,1.171,-1.208,1.091
286.98600000000005,0.0,0.0,-0.0999999999999943,1.228,1.171,-1.208,1.197
290.976,0.0,0.0,-0.0999999999999943,1.228,1.171,-1.208,1.197
292.971,0.0,0.0,-0.0999999999999943,1.228,1.171,-1.208,1.197
295.202,0.0,0.0,-0.0999999999999943,1.228,1.171,-1.208,1.197
297.235,0.0,0.0,-0.0999999999999943,1.228,1.171,-1.208,1.196
299.19800000000004,0.0,0.0,-0.0999999999999943,1.228,1.171,-1.208,1.196
303.546,0.0,0.0,-0.0999999999999943,1.228,1.171,-1.208,1.196
305.544,0.0,0.0,-0.0999999999999943,1.228,1.171,-1.208,1.196
307.855,0.0,0.0,-0.0999999999999943,1.228,1.171,-1.208,1.196
309.85400000000004,0.0,0.0,-0.0999999999999943,1.228,1.171,-1.208,1.161
312.25199999999995,0.0,0.0,-0.0999999999999943,1.228,1.171,-1.208,1.161
314.25,0.0,0.0,-0.0999999999999943,1.228,1.171,-1.208,1.161
316.24600000000004,0.0,0.0,-0.0999999999999943,1.228,1.171,-1.208,1.161
318.27,0.0,0.0,-0.0999999999999943,1.228,1.171,-1.208,1.091
320.266,0.0,0.0,-0.0999999999999943,1.228,1.171,-1.208,1.091
322.229,0.0,0.0,-0.0999999999999943,1.228,1.171,-1.208,1.091
324.25,0.0,0.0,-0.0999999999999943,1.228,1.171,-1.208,1.091
326.387,0.0,0.0,-0.0999999999999943,1.228,1.171,-1.208,1.091
328.385,0.0,0.0,-0.0999999999999943,1.228,1.171,-1.208,1.197
330.38,0.0,0.0,-0.0999999999999943,1.228,1.171,-1.208,1.197
332.379,0.0,0.0,-0.0999999999999943,1.228,1.171,-1.208,1.197
335.408,0.0,0.0,-0.0999999999999943,1.228,1.171,-1.208,1.197
338.35900000000004,0.0,0.0,-0.0999999999999943,1.228,1.171,-1.208,1.197
340.72799999999995,0.0,0.0,-0.0999999999999943,1.228,1.171,-1.208,1.126
342.773,0.0,0.0,-0.0999999999999943,1.228,1.171,-1.208,1.126
344.765,0.0,0.0,-0.0999999999999943,1.228,1.171,-1.208,1.126
346.716,0.0,0.0,-0.0999999999999943,1.228,1.171,-1.208,1.126
