Time (ms),TCP_x (mm),TCP_y (mm),TCP_z (mm),TCP_rx (rad),TCP_ry (rad),TCP_rz (rad),Robot_I (A)
1.586,0.0,0.0,0.0,1.228,1.171,-1.208,1.303
3.583,0.0,0.0,0.0,1.228,1.171,-1.208,1.337
5.603999999999999,0.0,0.0,0.0,1.228,1.171,-1.208,1.337
7.706,0.0,0.0,0.0,1.228,1.171,-1.208,1.337
9.706,0.0,0.0,0.0,1.228,1.171,-1.208,1.056
12.697,0.0,0.0,0.0,1.228,1.171,-1.208,1.056
14.69,0.0,0.0,0.0,1.228,1.171,-1.208,1.056
16.851000000000003,0.0,0.0,0.0,1.228,1.171,-1.208,1.056
18.955,0.0,0.0,0.0,1.228,1.171,-1.208,1.267
20.955,0.0,0.0,0.0,1.228,1.171,-1.208,1.267
22.952,0.0,0.0,0.0,1.228,1.171,-1.208,1.267
24.947,0.0,0.0,0.0,1.228,1.171,-1.208,1.267
26.950000000000003,0.0,-0.1000000000000227,0.0,1.228,1.171,-1.208,1.267
30.223,0.0,-0.1000000000000227,0.0,1.228,1.171,-1.208,1.267
32.428,0.0,-0.1000000000000227,0.0,1.228,1.171,-1.208,1.267
34.497,0.0,-0.1000000000000227,0.0,1.228,1.171,-1.208,1.267
36.624,0.0,-0.1000000000000227,0.0,1.228,1.171,-1.208,1.267
38.81,0.0,-0.1000000000000227,0.0,1.228,1.171,-1.208,1.267
40.842000000000006,0.0,-0.1000000000000227,0.0,1.228,1.171,-1.208,1.267
42.84,0.0,-0.1000000000000227,0.0,1.228,1.171,-1.208,1.267
46.22,0.0,-0.1000000000000227,0.0,1.228,1.171,-1.208,1.267
48.314,0.0,-0.1000000000000227,0.0,1.228,1.171,-1.208,1.232
50.339,0.0,-0.1000000000000227,0.0,1.228,1.171,-1.208,1.232
52.361,0.0,-0.1000000000000227,0.0,1.228,1.171,-1.208,1.232
54.301,0.0,-0.1000000000000227,0.0,1.228,1.171,-1.208,1.232
58.295,0.0,-0.1000000000000227,0.0,1.228,1.171,-1.208,1.303
61.287,0.0,-0.1000000000000227,0.0,1.228,1.171,-1.208,1.303
65.39,0.0,-0.1000000000000227,0.0,1.228,1.171,-1.208,1.303
69.792,0.0,-0.1000000000000227,0.0,1.228,1.171,-1.208,1.232
71.91,0.0,-0.1000000000000227,0.0,1.228,1.171,-1.208,1.232
73.91300000000001,0.0,-0.1000000000000227,0.0,1.228,1.171,-1.208,1.232
75.90299999999999,0.0,-0.1000000000000227,0.0,1.228,1.171,-1.208,1.267
77.89999999999999,0.0,-0.1000000000000227,0.0,1.228,1.171,-1.208,1.267
80.89399999999999,0.0,-0.1000000000000227,0.0,1.228,1.171,-1.208,1.267
82.923,0.0,-0.1000000000000227,0.0,1.228,1.171,-1.208,1.267
85.604,0.0,-0.1000000000000227,0.0,1.228,1.171,-1.208,1.197
87.601,0.0,-0.1000000000000227,0.0,1.228,1.171,-1.208,1.197
89.647,0.0,-0.1000000000000227,0.0,1.228,1.171,-1.208,1.197
91.681,0.0,-0.1000000000000227,0.0,1.228,1.171,-1.208,1.197
93.716,0.0,-0.1000000000000227,0.0,1.228,1.171,-1.208,1.197
97.007,0.0,-0.1000000000000227,0.0,1.228,1.171,-1.208,1.197
99.101,0.0,-0.1000000000000227,0.0,1.228,1.171,-1.208,1.197
101.131,0.0,-0.1000000000000227,0.0,1.228,1.171,-1.208,1.197
103.291,0.0999999999999943,-0.1000000000000227,0.0,1.228,1.171,-1.208,1.197
105.289,0.0999999999999943,-0.1000000000000227,0.0,1.228,1.171,-1.208,1.197
122.243,0.0999999999999943,-0.1000000000000227,0.0,1.228,1.171,-1.208,1.197
124.27,0.0999999999999943,-0.1000000000000227,0.0,1.228,1.171,-1.208,1.197
126.235,0.0999999999999943,-0.1000000000000227,0.0,1.228,1.171,-1.208,1.232
130.229,0.0999999999999943,-0.1000000000000227,0.0,1.228,1.171,-1.208,1.232
133.215,0.0999999999999943,-0.1000000000000227,0.0,1.228,1.171,-1.208,1.232
135.208,0.0999999999999943,-0.1000000000000227,0.0,1.228,1.171,-1.208,1.373
137.30700000000002,0.0999999999999943,-0.1000000000000227,0.0,1.228,1.171,-1.208,1.373
139.356,0.0999999999999943,-0.1000000000000227,0.0,1.228,1.171,-1.208,1.373
141.299,0.0999999999999943,-0.1000000000000227,0.0,1.228,1.171,-1.208,1.373
149.326,0.0999999999999943,-0.1000000000000227,0.0,1.228,1.171,-1.208,1.197
151.29500000000002,0.0999999999999943,-0.1000000000000227,0.0,1.228,1.171,-1.208,1.197
153.291,0.0999999999999943,-0.1000000000000227,0.0,1.228,1.171,-1.208,1.197
155.287,0.0999999999999943,-0.1000000000000227,0.0,1.228,1.171,-1.208,1.197
157.281,0.0999999999999943,-0.1000000000000227,0.0,1.228,1.171,-1.208,1.162
159.252,0.0999999999999943,-0.1000000000000227,0.0,1.228,1.171,-1.208,1.162
161.247,0.0999999999999943,-0.1000000000000227,0.0,1.228,1.171,-1.208,1.162
164.239,0.0999999999999943,-0.1000000000000227,0.0,1.228,1.171,-1.208,1.162
166.25799999999998,0.0999999999999943,-0.1000000000000227,0.0,1.228,1.171,-1.208,1.162
168.256,0.0999999999999943,-0.1000000000000227,0.0999999999999943,1.228,1.171,-1.208,1.161
170.24800000000002,0.0999999999999943,-0.1000000000000227,0.0999999999999943,1.228,1.171,-1.208,1.161
172.245,0.0999999999999943,-0.1000000000000227,0.0999999999999943,1.228,1.171,-1.208,1.161
176.236,0.0999999999999943,-0.1000000000000227,0.0999999999999943,1.228,1.171,-1.208,1.161
180.233,0.0999999999999943,-0.1000000000000227,0.0999999999999943,1.228,1.171,-1.208,1.197
182.25,0.0999999999999943,-0.1000000000000227,0.0999999999999943,1.228,1.171,-1.208,1.197
184.215,0.0999999999999943,-0.1000000000000227,0.0999999999999943,1.228,1.171,-1.208,1.197
186.757,0.0999999999999943,-0.1000000000000227,0.0999999999999943,1.228,1.171,-1.208,1.197
188.749,0.0999999999999943,-0.1000000000000227,0.0999999999999943,1.228,1.171,-1.208,1.162
190.744,0.0999999999999943,-0.1000000000000227,0.0999999999999943,1.228,1.171,-1.208,1.162
198.692,0.0999999999999943,-0.1000000000000227,0.0999999999999943,1.228,1.171,-1.208,1.162
200.716,0.0999999999999943,-0.1000000000000227,0.0999999999999943,1.228,1.171,-1.208,1.267
202.68,0.0999999999999943,-0.1000000000000227,0.0999999999999943,1.228,1.171,-1.208,1.267
204.675,0.0999999999999943,-0.1000000000000227,0.0999999999999943,1.228,1.171,-1.208,1.267
206.67,0.0999999999999943,-0.1000000000000227,0.0999999999999943,1.228,1.171,-1.208,1.267
208.664,0.0999999999999943,-0.1000000000000227,0.0999999999999943,1.228,1.171,-1.208,1.267
212.658,0.0999999999999943,-0.1000000000000227,0.0999999999999943,1.228,1.171,-1.208,1.232
214.648,0.0999999999999943,-0.1000000000000227,0.0999999999999943,1.228,1.171,-1.208,1.232
216.643,0.0999999999999943,-0.1000000000000227,0.0999999999999943,1.228,1.171,-1.208,1.232
218.638,0.0999999999999943,-0.1000000000000227,0.0999999999999943,1.228,1.171,-1.208,1.232
220.633,0.0999999999999943,-0.1000000000000227,0.0999999999999943,1.228,1.171,-1.208,1.232
222.627,0.0999999999999943,-0.1000000000000227,0.0999999999999943,1.228,1.171,-1.208,1.232
224.622,0.0999999999999943,-0.1000000000000227,0.0999999999999943,1.228,1.171,-1.208,1.232
228.617,0.0999999999999943,-0.1000000000000227,0.0999999999999943,1.228,1.171,-1.208,1.232
231.635,0.0999999999999943,-0.1000000000000227,0.0999999999999943,1.228,1.171,-1.208,1.232
235.616,0.0999999999999943,-0.1000000000000227,0.0999999999999943,1.228,1.171,-1.208,1.091
237.609,0.0999999999999943,-0.1000000000000227,0.0999999999999943,1.228,1.171,-1.208,1.091
239.604,0.0999999999999943,-0.1000000000000227,0.0999999999999943,1.228,1.171,-1.208,1.091
241.599,0.0999999999999943,-0.1000000000000227,0.0999999999999943,1.228,1.171,-1.208,1.091
244.568,0.0999999999999943,-0.1000000000000227,0.0999999999999943,1.228,1.171,-1.208,1.267
246.595,0.0999999999999943,-0.1000000000000227,0.0999999999999943,1.228,1.171,-1.208,1.267
248.593,0.0999999999999943,-0.1000000000000227,0.0999999999999943,1.228,1.171,-1.208,1.267
250.551,0.0999999999999943,-0.1000000000000227,0.0999999999999943,1.228,1.171,-1.208,1.267
252.546,0.0999999999999943,-0.1000000000000227,0.0999999999999943,1.228,1.171,-1.208,1.091
254.54100000000005,0.0999999999999943,-0.1000000000000227,0.0999999999999943,1.228,1.171,-1.208,1.091
264.546,0.0999999999999943,-0.1000000000000227,0.0999999999999943,1.228,1.171,-1.208,1.091
280.57,0.0999999999999943,-0.1000000000000227,0.0999999999999943,1.228,1.171,-1.208,1.091
282.58,0.0999999999999943,-0.1000000000000227,0.0999999999999943,1.228,1.171,-1.208,1.231
284.49600000000004,0.0999999999999943,-0.1000000000000227,0.0999999999999943,1.228,1.171,-1.208,1.231
287.004,0.0999999999999943,-0.1000000000000227,0.0999999999999943,1.228,1.171,-1.208,1.231
288.999,0.0999999999999943,-0.1000000000000227,0.0999999999999943,1.228,1.171,-1.208,1.231
290.72900000000004,0.0999999999999943,-0.1000000000000227,0.0999999999999943,1.228,1.171,-1.208,1.231
303.25,0.0999999999999943,-0.1000000000000227,0.0999999999999943,1.228,1.171,-1.208,1.232
305.245,0.0999999999999943,-0.1000000000000227,0.0999999999999943,1.228,1.171,-1.208,1.232
307.44,0.0999999999999943,-0.1000000000000227,0.0999999999999943,1.228,1.171,-1.208,1.232
313.223,0.0999999999999943,-0.1000000000000227,0.0999999999999943,1.228,1.171,-1.208,1.232
315.248,0.0999999999999943,-0.1000000000000227,0.0999999999999943,1.228,1.171,-1.208,1.267
319.206,0.0999999999999943,-0.1000000000000227,0.0999999999999943,1.228,1.171,-1.208,1.267
327.197,0.0999999999999943,-0.1000000000000227,0.0999999999999943,1.228,1.171,-1.208,1.267
329.183,0.0999999999999943,-0.1000000000000227,0.0999999999999943,1.228,1.171,-1.208,1.267
331.17400000000004,0.0999999999999943,-0.1000000000000227,0.0999999999999943,1.228,1.171,-1.208,1.267
333.168,0.0999999999999943,-0.1000000000000227,0.0999999999999943,1.228,1.171,-1.208,1.126
335.16400000000004,0.0999999999999943,-0.1000000000000227,0.0999999999999943,1.228,1.171,-1.208,1.126
337.159,0.0999999999999943,-0.1000000000000227,0.0999999999999943,1.228,1.171,-1.208,1.126
339.202,0.0999999999999943,-0.1000000000000227,0.0999999999999943,1.228,1.171,-1.208,1.126
341.171,0.0999999999999943,-0.1000000000000227,0.0999999999999943,1.228,1.171,-1.208,1.232
343.144,0.0999999999999943,-0.1000000000000227,0.0999999999999943,1.228,1.171,-1.208,1.232
347.151,0.0999999999999943,-0.1000000000000227,0.0999999999999943,1.228,1.171,-1.208,1.232
349.153,0.0999999999999943,-0.1000000000000227,0.0999999999999943,1.228,1.171,-1.208,1.232
351.12100000000004,0.0999999999999943,-0.1000000000000227,0.0999999999999943,1.228,1.171,-1.208,1.197
353.116,0.0999999999999943,-0.1000000000000227,0.0999999999999943,1.228,1.171,-1.208,1.197
355.341,0.0999999999999943,-0.1000000000000227,0.0999999999999943,1.228,1.171,-1.208,1.197
357.401,0.0999999999999943,-0.1000000000000227,0.0999999999999943,1.228,1.171,-1.208,1.197
