Time (ms),TCP_x (mm),TCP_y (mm),TCP_z (mm),TCP_rx (rad),TCP_ry (rad),TCP_rz (rad),Robot_I (A)
0.954,0.0,0.0,0.0,1.228,1.171,-1.208,1.161
41.384,0.0,0.0,0.0,1.228,1.171,-1.208,1.161
52.387,0.0,0.0,0.0,1.228,1.171,-1.208,1.161
54.35,0.0,0.0,0.0,1.228,1.171,-1.208,1.126
58.339,0.0,0.0,0.0,1.228,1.171,-1.208,1.126
64.32300000000001,0.0,0.0,0.0,1.228,1.171,-1.208,1.126
66.316,0.0,0.0,0.0,1.228,1.171,-1.208,1.161
70.306,0.0,0.0,0.0,1.228,1.171,-1.208,1.161
75.297,0.0,0.0,0.0,1.228,1.171,-1.208,1.161
79.598,0.0,0.0,0.0,1.228,1.171,-1.208,1.125
83.716,0.0,0.0,0.0,1.228,1.171,-1.208,1.125
85.716,0.0,0.0,0.0,1.228,1.171,-1.208,1.125
87.747,0.0,0.0,0.0,1.228,1.171,-1.208,1.125
92.019,0.0,0.0,0.0,1.228,1.171,-1.208,1.125
94.035,0.0,0.0,0.0,1.228,1.171,-1.208,1.125
96.032,0.0,0.0,0.0,1.228,1.171,-1.208,1.196
98.035,0.0,0.0,0.0,1.228,1.171,-1.208,1.196
100.029,0.0,0.0,0.0,1.228,1.171,-1.208,1.196
102.024,0.0,0.0,0.0,1.228,1.171,-1.208,1.196
104.018,0.0,0.0,0.0,1.228,1.171,-1.208,1.196
115.99,0.0,0.0,0.0,1.228,1.171,-1.208,1.231
118.016,0.0,0.0,0.0,1.228,1.171,-1.208,1.055
120.014,0.0,0.0,0.0,1.228,1.171,-1.208,1.055
121.975,0.0,0.0,0.0,1.228,1.171,-1.208,1.16
124.479,0.0,0.0,0.0,1.228,1.171,-1.208,1.16
126.508,0.0,0.0,0.0,1.228,1.171,-1.208,1.16
128.471,0.0,0.0,0.0,1.228,1.171,-1.208,1.16
130.466,0.0,0.0,0.0,1.228,1.171,-1.208,0.985
133.457,0.0,0.0,0.0,1.228,1.171,-1.208,0.985
135.452,0.0,0.0,0.0,1.228,1.171,-1.208,0.985
137.447,0.0,0.0,0.0,1.228,1.171,-1.208,0.985
139.454,0.0,0.0,0.0,1.228,1.171,-1.208,1.16
143.455,0.0,0.0,0.0,1.228,1.171,-1.208,1.16
145.45,0.0,0.0,0.0,1.228,1.171,-1.208,1.16
147.445,0.0,0.0,0.0,1.228,1.171,-1.208,1.16
149.44,0.0,0.0,0.0,1.228,1.171,-1.208,1.16
151.43499999999997,0.0,0.0,0.0,1.228,1.171,-1.208,1.16
153.428,0.0,0.0,0.0,1.228,1.171,-1.208,1.09
155.4,0.0,0.0,0.0,1.228,1.171,-1.208,1.09
157.39700000000002,0.0,0.0,0.0,1.228,1.171,-1.208,1.09
161.406,0.0,0.0,0.0,1.228,1.171,-1.208,1.09
165.37099999999998,0.0,0.0,0.0,1.228,1.171,-1.208,1.196
167.367,0.0,0.0,0.0,1.228,1.171,-1.208,1.196
171.36,0.0,0.0,0.0,1.228,1.171,-1.208,1.09
175.348,0.0,0.0,0.0,1.228,1.171,-1.208,1.09
178.338,0.0,0.0,0.0,1.228,1.171,-1.208,1.09
180.333,0.0,0.0,0.0,1.228,1.171,-1.208,1.09
182.33,0.0,0.0,0.0,1.228,1.171,-1.208,1.09
184.322,0.0,0.0,0.0,1.228,1.171,-1.208,1.09
186.317,0.0,0.0,0.0,1.228,1.171,-1.208,1.09
189.315,0.0,0.0,0.0,1.228,1.171,-1.208,1.09
191.304,0.0,0.0,0.0,1.228,1.171,-1.208,1.09
195.293,0.0,0.0,0.0,1.228,1.171,-1.208,1.196
197.287,0.0,0.0,0.0,1.228,1.171,-1.208,1.196
199.311,0.0,0.0,0.0,1.228,1.171,-1.208,1.196
201.299,0.0,0.0,0.0,1.228,1.171,-1.208,1.196
203.295,0.0,0.0,0.0,1.228,1.171,-1.208,1.09
206.308,0.0,0.0,0.0,1.228,1.171,-1.208,1.09
208.292,0.0,0.0,0.0,1.228,1.171,-1.208,1.09
212.288,0.0,0.0,0.0,1.228,1.171,-1.208,1.09
214.279,0.0,0.0,0.0,1.228,1.171,-1.208,1.126
216.274,0.0,0.0,0.0,1.228,1.171,-1.208,1.126
