Time (ms),TCP_x (mm),TCP_y (mm),TCP_z (mm),TCP_rx (rad),TCP_ry (rad),TCP_rz (rad),Robot_I (A)
1.981,0.0,0.0,0.0,1.228,1.171,-1.208,1.125
4.955,0.0,0.0,0.0,1.228,1.171,-1.208,1.125
7.931000000000001,0.0,0.0,0.0,1.228,1.171,-1.208,1.125
10.908,0.0,0.0,0.0,1.228,1.171,-1.208,1.125
13.39,0.0,0.0,0.0,1.228,1.171,-1.208,1.125
15.373,0.0,0.0,0.0,1.228,1.171,-1.208,1.125
18.347,0.0,0.0,0.0,1.228,1.171,-1.208,1.125
21.324,0.0,0.0,0.0,1.228,1.171,-1.208,1.125
22.811,0.0,0.0,0.0,1.228,1.171,-1.208,1.125
24.299,0.0,0.0,0.0,1.228,1.171,-1.208,1.125
25.788,0.0,0.0,0.0,1.228,1.171,-1.208,1.125
28.764000000000003,0.0,0.0,0.0,1.228,1.171,-1.208,1.125
31.245,0.0,0.0,0.0,1.228,1.171,-1.208,1.125
32.732,0.0,0.0,0.0,1.228,1.171,-1.208,1.125
35.306999999999995,0.0,0.0,0.0,1.228,1.171,-1.208,1.126
38.282,0.0,0.0,0.0,1.228,1.171,-1.208,1.126
41.285,0.0,0.0,0.0,1.228,1.171,-1.208,1.126
42.789,0.0,0.0,0.0,1.228,1.171,-1.208,1.09
44.261,0.0,0.0,0.0,1.228,1.171,-1.208,1.09
49.22,0.0,0.0,0.0,1.228,1.171,-1.208,1.09
50.849,0.0,0.0,0.0,1.228,1.171,-1.208,1.125
52.381,0.0,0.0,0.0,1.228,1.171,-1.208,1.125
55.413,0.0,0.0,0.0,1.228,1.171,-1.208,1.125
56.901,0.0,0.0,0.0,1.228,1.171,-1.208,1.125
58.394,0.0,0.0,0.0,1.228,1.171,-1.208,1.125
59.877,0.0,0.0,0.0,1.228,1.171,-1.208,1.231
61.365,0.0,0.0,0.0,1.228,1.171,-1.208,1.231
65.829,0.0,0.0,0.0,1.228,1.171,-1.208,1.231
68.32900000000001,0.0,0.0,0.0,1.228,1.171,-1.208,1.231
69.812,0.0,0.0,0.0,1.228,1.171,-1.208,1.054
72.77300000000001,0.0,0.0,0.0,1.228,1.171,-1.208,1.054
74.266,0.0,0.0,0.0,1.228,1.171,-1.208,1.054
75.754,0.0,0.0,0.0,1.228,1.171,-1.208,1.054
78.807,0.0,0.0,0.0,1.228,1.171,-1.208,1.125
82.27,0.0,0.0,0.0,1.228,1.171,-1.208,1.125
85.742,0.0,0.0,0.0,1.228,1.171,-1.208,1.125
87.254,0.0,0.0,0.0,1.228,1.171,-1.208,1.055
88.718,0.0,0.0,0.0,1.228,1.171,-1.208,1.055
91.694,0.0,0.0,0.0,1.228,1.171,-1.208,1.055
93.182,0.0,0.0,0.0,1.228,1.171,-1.208,1.055
94.67,0.0,0.0,0.0,1.228,1.171,-1.208,1.089
97.646,0.0,0.0,0.0,1.228,1.171,-1.208,1.089
100.629,0.0,0.0,0.0,1.228,1.171,-1.208,1.089
102.115,0.0,0.0,0.0,1.228,1.171,-1.208,1.089
