Time (ms),TCP_x (mm),TCP_y (mm),TCP_z (mm),TCP_rx (rad),TCP_ry (rad),TCP_rz (rad),Robot_I (A)
1.984,0.0,0.0,0.0,1.228,1.171,-1.208,1.055
3.472,0.0,0.0,0.0,1.228,1.171,-1.208,1.055
6.420999999999999,0.0,0.0,0.0,1.228,1.171,-1.208,1.055
8.405,0.0,0.0,0.0,1.228,1.171,-1.208,1.055
9.893,0.0,0.0,0.0,1.228,1.171,-1.208,1.055
11.381,0.0,0.0,0.0,1.228,1.171,-1.208,1.055
12.868,0.0,0.0,0.0,1.228,1.171,-1.208,1.055
14.865,0.0,0.0,0.0,1.228,1.171,-1.208,1.161
16.355,0.0,0.0,0.0,1.228,1.171,-1.208,1.161
26.772,0.0,0.0,0.0,1.228,1.171,-1.208,1.161
28.755,0.0,0.0,0.0,1.228,1.171,-1.208,1.161
30.243,0.0,0.0,0.0,1.228,1.171,-1.208,1.161
31.731,0.0,0.0,0.0,1.228,1.171,-1.208,1.161
34.707,0.0,0.0,0.0,1.228,1.171,-1.208,1.161
36.196,0.0,0.0,0.0,1.228,1.171,-1.208,1.161
39.67,0.0,0.0,0.0,1.228,1.171,-1.208,1.161
41.155,0.0,0.0,0.0,1.228,1.171,-1.208,1.02
42.643,0.0,0.0,0.0,1.228,1.171,-1.208,1.02
43.907,0.0,0.0,0.0,1.228,1.171,-1.208,1.02
46.885000000000005,0.0,0.0,0.0,1.228,1.171,-1.208,1.02
48.372,0.0,0.0,0.0,1.228,1.171,-1.208,1.02
50.995,0.0,0.0,0.0,1.228,1.171,-1.208,1.161
52.546,0.0,0.0,0.0,1.228,1.171,-1.208,1.161
55.96,0.0,0.0,0.0,1.228,1.171,-1.208,1.161
58.001,0.0,0.0,0.0,1.228,1.171,-1.208,1.161
59.429,0.0,0.0,0.0,1.228,1.171,-1.208,1.056
60.943,0.0,0.0,0.0,1.228,1.171,-1.208,1.056
62.408,0.0,0.0,0.0,1.228,1.171,-1.208,1.056
63.899,0.0,0.0,0.0,1.228,1.171,-1.208,1.056
65.387,0.0,0.0,0.0,1.228,1.171,-1.208,1.056
68.365,0.0,0.0,0.0,1.228,1.171,-1.208,1.126
71.838,0.0,0.0,0.0,1.228,1.171,-1.208,1.126
73.327,0.0,0.0,0.0,1.228,1.171,-1.208,1.126
75.31,0.0,0.0,0.0,1.228,1.171,-1.208,1.126
76.797,0.0,0.0,0.0,1.228,1.171,-1.208,1.091
79.778,0.0,0.0,0.0,1.228,1.171,-1.208,1.091
82.77199999999999,0.0,0.0,0.0,1.228,1.171,-1.208,1.091
84.265,0.0,0.0,0.0,1.228,1.171,-1.208,1.09
85.748,0.0,0.0,0.0,1.228,1.171,-1.208,1.09
87.23599999999999,0.0,0.0,0.0,1.228,1.171,-1.208,1.09
90.213,0.0,0.0,0.0,1.228,1.171,-1.208,1.09
91.705,0.0,0.0,0.0,1.228,1.171,-1.208,1.09
93.188,0.0,0.0,0.0,1.228,1.171,-1.208,1.09
94.681,0.0,0.0,0.0,1.228,1.171,-1.208,1.196
97.652,0.0,0.0,0.0,1.228,1.171,-1.208,1.196
100.628,0.0,0.0,0.0,1.228,1.171,-1.208,1.196
102.116,0.0,0.0,0.0,1.228,1.171,-1.208,1.196
103.604,0.0,0.0,0.0,1.228,1.171,-1.208,1.232
105.593,0.0,0.0,0.0,1.228,1.171,-1.208,1.232
108.07,0.0,0.0,0.0,1.228,1.171,-1.208,1.232
110.585,0.0,0.0,0.0,1.228,1.171,-1.208,1.232
112.536,0.0,0.0,0.0,1.228,1.171,-1.208,1.232
114.516,0.0,0.0,0.0,1.228,1.171,-1.208,1.02
116.005,0.0,0.0,0.0,1.228,1.171,-1.208,1.02
117.492,0.0,0.0,0.0,1.228,1.171,-1.208,1.02
119.79,0.0,0.0,0.0,1.228,1.171,-1.208,1.02
122.248,0.0,0.0,0.0,1.228,1.171,-1.208,1.02
124.264,0.0,0.0,0.0,1.228,1.171,-1.208,1.09
126.268,0.0,0.0,0.0,1.228,1.171,-1.208,1.09
128.195,0.0,0.0,0.0,1.228,1.171,-1.208,1.09
129.683,0.0,0.0,0.0,1.228,1.171,-1.208,1.09
131.17100000000002,0.0,0.0,0.0,1.228,1.171,-1.208,1.09
134.152,0.0,0.0,0.0,1.228,1.171,-1.208,1.161
135.63500000000002,0.0,0.0,0.0,1.228,1.171,-1.208,1.161
139.609,0.0,0.0,0.0,1.228,1.171,-1.208,1.161
143.57,0.0,0.0,0.0,1.228,1.171,-1.208,1.02
145.059,0.0,0.0,0.0,1.228,1.171,-1.208,1.02
148.563,0.0,0.0,0.0,1.228,1.171,-1.208,1.02
150.051,0.0,0.0,0.0999999999999943,1.228,1.171,-1.208,1.021
152.995,0.0,0.0,0.0999999999999943,1.228,1.171,-1.208,1.021
157.45899999999995,0.0,0.0,0.0999999999999943,1.228,1.171,-1.208,1.021
158.947,0.0,0.0,0.0999999999999943,1.228,1.171,-1.208,1.091
160.468,0.0,0.0,0.0999999999999943,1.228,1.171,-1.208,1.091
163.412,0.0,0.0,0.0999999999999943,1.228,1.171,-1.208,1.091
164.899,0.0,0.0,0.0999999999999943,1.228,1.171,-1.208,1.091
166.41,0.0,0.0,0.0999999999999943,1.228,1.171,-1.208,1.091
169.366,0.0,0.0,0.0999999999999943,1.228,1.171,-1.208,0.985
