Time (ms),TCP_x (mm),TCP_y (mm),TCP_z (mm),TCP_rx (rad),TCP_ry (rad),TCP_rz (rad),Robot_I (A)
3.969,0.0,0.0,0.0,1.228,1.171,-1.208,1.02
5.947,0.0,0.0,0.0,1.228,1.171,-1.208,1.126
8.924,0.0,0.0,0.0,1.228,1.171,-1.208,1.126
10.412,0.0,0.0,0.0,1.228,1.171,-1.208,1.126
13.388,0.0,0.0,0.0,1.228,1.171,-1.208,1.126
14.876,0.0,0.0,0.0,1.228,1.171,-1.208,1.162
17.851,0.0,0.0,0.0,1.228,1.171,-1.208,1.162
20.828,0.0,0.0,0.0,1.228,1.171,-1.208,1.162
22.812,0.0,0.0,0.0,1.228,1.171,-1.208,1.091
24.3,0.0,0.0,0.0,1.228,1.171,-1.208,1.091
27.276000000000003,0.0,0.0,0.0,1.228,1.171,-1.208,1.091
30.252,0.0,0.0,0.0,1.228,1.171,-1.208,1.091
31.74,0.0,0.0,0.0,1.228,1.171,-1.208,1.021
34.715999999999994,0.0,0.0,0.0,1.228,1.171,-1.208,1.021
36.701,0.0,0.0,0.0,1.228,1.171,-1.208,1.021
39.676,0.0,0.0,0.0,1.228,1.171,-1.208,1.021
41.206,0.0,0.0,0.0,1.228,1.171,-1.208,1.127
42.685,0.0,0.0,0.0,1.228,1.171,-1.208,1.127
44.144000000000005,0.0,0.0,0.0,1.228,1.171,-1.208,1.127
45.628,0.0,0.0,0.0,1.228,1.171,-1.208,1.127
48.609,0.0,0.0,0.0,1.228,1.171,-1.208,1.127
51.084,0.0,0.0,0.0,1.228,1.171,-1.208,1.126
54.06,0.0,0.0,0.0,1.228,1.171,-1.208,1.126
56.087,0.0,0.0,0.0,1.228,1.171,-1.208,1.126
57.532,0.0,0.0,0.0,1.228,1.171,-1.208,1.161
60.727,0.0,0.0,0.0,1.228,1.171,-1.208,1.161
62.252,0.0,0.0,0.0,1.228,1.171,-1.208,1.161
63.706,0.0,0.0,0.0,1.228,1.171,-1.208,1.161
67.68299999999999,0.0,0.0,0.0,1.228,1.171,-1.208,1.055
70.657,0.0,0.0,0.0,1.228,1.171,-1.208,1.055
72.145,0.0,0.0,0.0,1.228,1.171,-1.208,1.055
74.652,0.0,0.0,0.0,1.228,1.171,-1.208,1.055
76.112,0.0,0.0,0.0,1.228,1.171,-1.208,1.021
77.601,0.0,0.0,0.0,1.228,1.171,-1.208,1.021
79.094,0.0,0.0,0.0,1.228,1.171,-1.208,1.021
82.08699999999999,0.0,0.0,0.0,1.228,1.171,-1.208,1.021
84.568,0.0,0.0,0.0,1.228,1.171,-1.208,1.091
87.05,0.0,0.0,0.0,1.228,1.171,-1.208,1.091
89.031,0.0,0.0,0.0,1.228,1.171,-1.208,1.091
96.008,0.0,0.0,0.0,1.228,1.171,-1.208,1.091
98.516,0.0,0.0,0.0,1.228,1.171,-1.208,1.091
100.946,0.0,0.0,0.0,1.228,1.171,-1.208,1.056
103.418,0.0,0.0,0.0,1.228,1.171,-1.208,1.056
105.398,0.0,0.0,0.0,1.228,1.171,-1.208,1.056
108.374,0.0,0.0,0.0,1.228,1.171,-1.208,1.056
109.862,0.0,0.0,0.0,1.228,1.171,-1.208,0.95
111.35,0.0,0.0,0.0,1.228,1.171,-1.208,0.95
112.838,0.0,0.0,0.0,1.228,1.171,-1.208,0.95
115.814,0.0,0.0,0.0,1.228,1.171,-1.208,0.95
117.798,0.0,0.0,0.0,1.228,1.171,-1.208,1.091
119.286,0.0,0.0,0.0,1.228,1.171,-1.208,1.091
120.774,0.0,0.0,0.0,1.228,1.171,-1.208,1.091
122.262,0.0,0.0,0.0,1.228,1.171,-1.208,1.091
125.238,0.0,0.0,0.0,1.228,1.171,-1.208,1.091
128.712,0.0,0.0,0.0999999999999943,1.228,1.171,-1.208,0.986
132.185,0.0,0.0,0.0999999999999943,1.228,1.171,-1.208,0.986
134.66500000000002,0.0,0.0,0.0999999999999943,1.228,1.171,-1.208,0.986
138.14,0.0,0.0,0.0999999999999943,1.228,1.171,-1.208,0.986
140.125,0.0,0.0,0.0999999999999943,1.228,1.171,-1.208,1.056
142.104,0.0,0.0,0.0999999999999943,1.228,1.171,-1.208,1.056
145.07999999999998,0.0,0.0,0.0999999999999943,1.228,1.171,-1.208,1.056
148.05599999999998,0.0,0.0,0.0999999999999943,1.228,1.171,-1.208,1.056
150.54600000000002,0.0,0.0,0.0999999999999943,1.228,1.171,-1.208,1.232
153.512,0.0,0.0,0.0999999999999943,1.228,1.171,-1.208,1.232
156.986,0.0,0.0,0.0999999999999943,1.228,1.171,-1.208,1.232
158.472,0.0,0.0,0.0999999999999943,1.228,1.171,-1.208,1.021
161.447,0.0,0.0,0.0999999999999943,1.228,1.171,-1.208,1.021
162.935,0.0,0.0,0.0999999999999943,1.228,1.171,-1.208,1.021
167.937,0.0,0.0,0.0999999999999943,1.228,1.171,-1.208,1.021
171.904,0.0,0.0,0.0999999999999943,1.228,1.171,-1.208,1.021
173.41400000000002,0.0,0.0,0.0999999999999943,1.228,1.171,-1.208,1.021
