Time (ms),Nset (1/min),Torque (Nm),Current (V),Angle (deg),Depth (mm)
0.0,0.0,-0.00070425414,-0.00457763672,0.0,0.095703125
1.0,4.0,0.007042541,0.00244140625,0.0,0.095703125
2.0,8.0,0.01197232,0.06896973,0.0,0.09765625
3.0,12.0,0.0140850823,0.184021,0.13333334,0.08984375
4.0,16.0,0.0316914357,0.273132324,0.13333334,0.099609375
5.0,20.0,0.0267616566,0.276794434,0.266666681,0.095703125
6.0,24.0,0.0373254679,0.276794434,0.4,0.095703125
7.0,28.0,0.04225525,0.276794434,0.533333361,0.099609375
8.0,32.0,0.03591696,0.278015137,0.8,0.09765625
9.0,36.0,0.0373254679,0.277709961,0.933333337,0.09375
10.0,40.0,0.0330999456,0.295715332,1.2,0.09765625
11.0,44.0,0.0274659116,0.2874756,1.4666667,0.09375
12.0,48.0,0.02887442,0.277709961,1.73333335,0.09375
13.0,52.0,0.0380297229,0.2886963,2.0,0.095703125
14.0,56.0,0.0366212167,0.318603516,2.26666665,0.09375
15.0,60.0,0.0373254679,0.335998535,2.66666675,0.09765625
16.0,64.0,0.0190148614,0.3274536,3.0666666,0.09375
17.0,68.0,0.0302829277,0.32043457,3.4666667,0.08984375
18.0,72.0,0.0535233133,0.3338623,3.86666656,0.09765625
19.0,76.0,0.08662326,0.357055664,4.266667,0.09375
20.0,80.0,0.0739466846,0.387268066,4.66666651,0.09375
21.0,84.0,0.0570445843,0.3955078,5.2,0.09375
22.0,88.0,0.0464807749,0.381469727,5.733333,0.09375
23.0,92.0,0.0316914357,0.357666016,6.266667,0.1015625
24.0,96.0,0.03239569,0.358276367,6.8,0.095703125
25.0,100.0,0.0309871826,0.357666016,7.4666667,0.09375
26.0,104.0,0.0161978453,0.377807617,8.0,0.091796875
27.0,108.0,0.04084674,0.377807617,8.666667,0.095703125
28.0,112.0,0.0302829277,0.3793335,9.333333,0.09765625
29.0,116.0,0.04084674,0.378723145,10.0,0.09375
30.0,120.0,0.03239569,0.3942871,10.666667,0.09765625
31.0,124.0,0.04225525,0.4055786,11.4666662,0.099609375
32.0,128.0,0.0366212167,0.416259766,12.2666664,0.1015625
33.0,132.0,0.04084674,0.428161621,12.9333334,0.09765625
34.0,136.0,0.0471850261,0.438232422,13.7333336,0.1015625
35.0,140.0,0.0366212167,0.438842773,14.666667,0.099609375
36.0,144.0,0.0429595038,0.427856445,15.4666662,0.09375
37.0,148.0,0.04084674,0.416259766,16.4,0.099609375
38.0,152.0,0.0415509939,0.4159546,17.2,0.09765625
39.0,156.0,0.0394382328,0.4373169,18.1333332,0.091796875
40.0,160.0,0.03591696,0.438232422,19.0666676,0.095703125
